gene_id,Gene Name,Reference,Strand,Start,End,B10_S1,B11_S2,B12_S3,D10_S4,D11_S5,D12_S6,H13_S7,H14_S8,H15_S9,L13_S10,L14_S11,L15_S12
FGRAM000v1_000023,-,chr1,-,70246,71768,173.236924,203.743205,166.150991,801.520383,892.493896,837.295206,393.3473,459.266209,434.380237,870.91305,886.256163,841.846721
FGRAM000v1_000024,-,chr1,+,73688,75736,0.077967,0.0,0.0,0.0,0.0,0.321595,0.069864,0.0,0.0,0.089455,0.183707,0.420319
FGRAM000v1_000025,.,chr1,+,76814,77164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000026,.,chr1,-,77867,78759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000027,.,chr1,-,79384,80149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000028,-,chr1,+,81855,83862,7.410352,8.887554,7.261708,19.483323,20.133194,16.795054,13.275997,16.172412,15.972917,26.62617,26.605495,25.966011
FGRAM000v1_000029,-,chr1,-,84152,85708,0.173588,0.369329,0.288942,1.619191,1.586961,1.075345,0.384349,0.358248,0.558223,2.103828,1.631027,2.949188
FGRAM000v1_000030,-,chr1,+,86666,88324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000031,.,chr1,+,89257,90559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334087,0.0,0.0
FGRAM000v1_000032,.,chr1,+,91331,92529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534367,0.0
FGRAM000v1_000033,-,chr1,-,92766,94041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000034,-,chr1,+,94967,96859,0.0,0.379122,0.0,0.599772,0.0,0.0,2.824246,4.000989,3.440215,0.43321,0.456004,0.0
FGRAM000v1_000035,.,chr1,+,98066,99280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000036,-,chr1,+,99781,101745,0.603358,0.423812,0.945829,0.284836,0.248838,0.590542,0.41519,0.642788,0.696158,0.26044,0.471682,0.587152
FGRAM000v1_000037,-,chr1,+,102145,104120,46.539346,42.368066,48.124129,36.992362,38.800104,35.49982,52.108098,52.221953,51.909589,42.956547,39.336956,39.190658
FGRAM000v1_000038,-,chr1,+,104442,106192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286865,0.250854,0.301511
FGRAM000v1_000039,.,chr1,-,106304,109822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000040,-,chr1,-,112387,112837,5.763535,8.868868,4.643116,34.276349,33.112755,47.312795,10.602511,8.472034,5.21751,56.348178,52.390941,61.996804
FGRAM000v1_000041,.,chr1,-,113290,114151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41032,0.0
FGRAM000v1_000042,.,chr1,+,114966,115757,0.0,0.0,0.0,0.307657,0.565673,0.0,0.043487,0.0,0.0,0.371203,0.704768,0.173505
FGRAM000v1_000043,-,chr1,+,116178,117434,9.306478,10.210676,10.271265,19.403778,20.26923,22.276772,15.832199,19.107906,13.483771,29.286097,27.574433,28.135532
FGRAM000v1_000044,-,chr1,-,117562,119359,4.4388,3.058021,3.203322,5.239893,5.697232,4.910588,2.054665,4.004529,3.616807,3.798048,3.063263,2.859085
FGRAM000v1_000045,-,chr1,+,119708,121237,1.898951,1.395292,1.832399,1.372639,1.407116,0.277876,0.0,0.70125,0.608139,1.133859,1.292265,1.210876
FGRAM000v1_000046,-,chr1,-,121389,122906,0.080088,0.083881,0.281652,0.0,0.0,0.078263,0.103519,0.25969,0.09447,0.0,0.0,0.0
FGRAM000v1_000047,.,chr1,-,123521,124401,0.0,0.0,0.0,0.0,0.599533,0.0,0.262579,0.327115,0.0,0.243285,1.01041,0.0
FGRAM000v1_000048,-,chr1,-,126575,127641,0.0,0.0,0.0,0.885039,0.679449,0.0,0.0,0.0,0.0,0.0,0.818584,0.0
FGRAM000v1_000049,-,chr1,-,128646,129924,1.070737,0.839705,0.666684,0.522911,1.761697,1.06047,1.291932,1.002884,1.555155,1.361823,2.36439,2.657446
FGRAM000v1_000050,.,chr1,+,130730,134954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000051,-,chr1,-,135236,136072,0.55339,0.515274,0.859608,1.62708,2.132147,0.854945,1.208766,0.224276,0.44695,1.955703,3.653193,2.127804
FGRAM000v1_000052,-,chr1,-,136677,137587,2.536283,3.590472,2.459463,9.563509,8.022191,10.746176,4.771167,6.319374,5.458472,5.749925,8.092623,6.450057
FGRAM000v1_000053,.,chr1,-,138476,140223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000054,-,chr1,-,141156,142703,2.592345,3.542959,4.490206,1.91926,1.156054,1.731269,4.325426,3.738441,3.495281,2.024618,1.423162,1.714761
FGRAM000v1_000055,-,chr1,-,143000,145263,0.324477,0.445718,0.0,0.0,0.526907,0.0,0.547395,0.500244,0.364973,0.712302,0.645709,0.638491
FGRAM000v1_000056,-,chr1,-,145658,150697,842.920309,1003.347799,714.670225,436.346009,569.172032,432.248495,1072.782083,1665.383966,1203.629026,1023.204934,1008.967829,923.907892
FGRAM000v1_000057,-,chr1,+,151750,153036,2274.818888,2258.877719,2472.477921,1155.793846,1171.862234,1126.74076,3422.162207,3333.478253,3455.717391,1675.101204,1734.716849,1573.752791
FGRAM000v1_000058,-,chr1,+,153701,160141,170.68733,222.957179,138.643794,96.552388,144.400887,101.326345,156.640375,354.294372,196.171652,273.173324,282.50802,241.076577
FGRAM000v1_000059,-,chr1,-,160290,160958,8.731469,4.660666,4.262262,1.923109,3.288531,7.318871,10.507666,9.84644,7.811537,4.535399,2.658478,8.522962
FGRAM000v1_000060,-,chr1,+,161891,162967,5.042382,3.877689,4.880782,5.338002,7.806874,6.566036,5.115747,8.162125,8.253064,7.939832,7.36948,6.600668
FGRAM000v1_000061,-,chr1,-,163229,165578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116438,0.0
FGRAM000v1_000062,-,chr1,-,167833,170927,1.817399,1.675878,1.145363,0.666346,0.172505,0.0,2.045145,2.176845,2.77614,1.512718,0.866353,0.372731
FGRAM000v1_000063,-,chr1,-,171341,172428,563.379217,600.581704,486.73748,424.417877,421.173538,439.115606,620.556232,716.745665,663.441554,555.044609,572.408254,594.245299
FGRAM000v1_000064,-,chr1,-,177410,190857,97.829029,148.46698,87.774039,34.174897,0.0,0.0,0.0,217.819382,76.112298,149.921011,174.058159,144.418639
FGRAM000v1_000065,-,chr1,-,190913,198263,18.414017,24.276195,57.192015,10.122113,17.210281,12.400271,17.475385,39.367475,20.024348,44.507168,65.853234,40.140752
FGRAM000v1_000066,-,chr1,-,199051,200085,6024.71014,6071.655985,5858.355789,3069.114074,3046.845099,2974.473367,8313.30288,8938.716682,8689.837871,4101.902927,4292.718862,4110.137603
FGRAM000v1_000067,-,chr1,+,200324,201292,3480.842775,3494.558531,3189.534382,1538.528701,1594.130227,1556.629774,5069.709268,5512.282014,5187.087628,2312.847505,2460.040717,2311.485437
FGRAM000v1_000068,-,chr1,-,202246,203007,1157.401337,1201.526863,1155.868813,1352.423272,1303.554459,1309.454558,1587.545592,1679.901391,1650.269694,1582.052534,1688.478302,1536.649349
FGRAM000v1_000069,-,chr1,+,203559,208625,729.845986,833.836705,681.593695,680.0757,871.067922,711.466797,1055.765643,1424.165051,1205.186286,1325.027847,1323.15104,1245.366827
FGRAM000v1_000070,-,chr1,+,209093,210926,1238.126885,1297.722734,1156.419186,670.498892,766.726917,751.64172,1920.266265,1980.581381,2081.866061,1041.494045,1078.670772,1053.051664
FGRAM000v1_000071,-,chr1,+,211641,212901,5554.894833,5949.508012,5508.723138,2399.601508,2802.640203,2579.128277,8622.551336,8857.929524,8997.05334,4276.151587,4288.362695,4052.25391
FGRAM000v1_000072,-,chr1,+,213485,214990,4001.610187,4621.202322,3329.899988,2206.108904,2902.838897,2293.802121,4902.711729,7433.8638,5879.284164,4425.277623,4634.775239,4453.174311
FGRAM000v1_000073,-,chr1,+,216692,217648,504.260075,539.606644,474.4389,476.250309,496.703971,460.340416,493.514839,580.423895,528.802314,422.98948,400.194534,414.243939
FGRAM000v1_000074,-,chr1,-,217735,218887,33.096606,42.27741,43.570222,39.82896,43.155673,47.059717,38.909543,40.056238,48.048193,57.175042,66.093,54.04427
FGRAM000v1_000075,-,chr1,+,219527,220686,8.648449,8.702164,5.119738,1.298026,0.836052,0.79651,6.450351,9.449029,8.148506,1.947381,0.923913,1.795011
FGRAM000v1_000076,-,chr1,-,221802,223199,228.779947,256.147671,195.268932,674.311504,838.143396,672.668177,255.387804,397.23481,316.69822,1039.716261,1105.024304,1073.011774
FGRAM000v1_000077,-,chr1,+,223982,224911,23.531554,24.942948,25.58184,96.321695,90.828989,101.447129,38.706852,39.243637,43.271924,123.771263,124.847708,120.624507
FGRAM000v1_000078,-,chr1,-,225087,234492,0.0,0.0,0.0,0.0,0.0,0.0,0.05201,0.0,0.0,0.0,0.0,0.035927
FGRAM000v1_000079,-,chr1,-,235303,235863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000080,-,chr1,+,237525,239054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466663,0.568996,0.0,0.0,0.0
FGRAM000v1_000081,-,chr1,+,239273,239692,0.0,0.0,0.0,0.50548,0.924865,0.0,0.0,0.0,0.0,0.598442,0.62306,0.310984
FGRAM000v1_000082,-,chr1,+,240866,243410,1.265282,1.137596,0.854665,0.541965,1.195896,1.305191,0.836367,1.593872,0.26626,1.58841,1.64763,2.216948
FGRAM000v1_000083,-,chr1,+,243890,245491,0.062718,0.0,0.0,0.0,0.112328,0.0,0.0,0.087047,0.0,0.0,0.0,0.0
FGRAM000v1_000084,-,chr1,-,246636,248505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000085,-,chr1,-,249017,249835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000086,-,chr1,+,250195,251152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000087,-,chr1,-,251276,252837,1.172534,1.119049,0.0,2.829732,2.825298,2.17475,1.749102,2.005522,2.735972,3.123442,3.425662,2.269394
FGRAM000v1_000088,-,chr1,+,253843,254213,295.920802,299.35913,367.327758,823.63037,813.712175,807.233345,281.159763,267.986102,313.258871,353.331894,343.697193,360.069122
FGRAM000v1_000089,-,chr1,-,255431,255887,0.0,0.0,0.0,6.186171,3.033637,2.943673,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000090,-,chr1,+,256652,257029,0.0,0.0,0.0,1.215833,3.795331,2.061204,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000091,-,chr1,+,258302,258869,8.875899,6.427952,7.082379,24.254751,14.875437,20.837704,6.769015,4.253007,7.50143,6.174474,2.955844,3.760138
FGRAM000v1_000092,-,chr1,-,258933,260618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000093,-,chr1,+,262667,264011,6.975693,9.150956,5.877208,13.473326,11.660181,13.109868,9.285922,6.324424,6.697593,14.481061,11.183937,13.782613
FGRAM000v1_000094,-,chr1,+,265150,265721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000095,-,chr1,-,266071,267171,0.832268,0.27607,0.423101,0.867717,2.72554,1.355096,2.092999,1.639222,2.226688,0.708766,1.143907,1.350673
FGRAM000v1_000096,-,chr1,+,269564,270812,19.704889,26.778994,25.071209,29.045741,28.352598,26.32201,21.997491,17.615425,18.506256,9.495563,8.616374,11.859004
FGRAM000v1_000097,-,chr1,+,271490,273108,1.814069,1.501211,1.291164,0.851249,1.170367,1.275385,1.642363,2.245901,3.236751,1.790388,1.299812,1.643464
FGRAM000v1_000098,-,chr1,+,273512,276041,0.0,0.457738,0.0,2.838167,5.352217,2.867815,1.749012,0.920319,1.402814,5.123885,6.288652,3.672148
FGRAM000v1_000099,-,chr1,-,276023,278042,5.986669,6.655932,5.368363,6.470685,8.158799,5.821906,5.717613,6.910683,6.515073,9.138579,11.467701,11.455673
FGRAM000v1_000100,-,chr1,+,278281,280185,0.883964,0.191359,0.280543,0.634473,1.422792,0.571432,0.64127,0.64051,0.276891,2.395402,1.633525,1.570535
FGRAM000v1_000101,-,chr1,+,282627,284381,1804.229082,1839.289554,1776.4344,4854.563854,5582.982515,5157.388988,4146.397425,4305.413652,4183.633333,5113.638761,4754.338647,4508.080181
FGRAM000v1_000102,-,chr1,+,285065,286269,1.2356,0.866894,0.684505,3.300676,1.596386,1.849141,2.22195,2.990946,2.205296,4.843337,3.749469,3.50264
FGRAM000v1_000103,.,chr1,-,286351,287419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000104,.,chr1,+,288142,289470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000105,.,chr1,+,290123,291805,0.0,0.0,0.0,0.105359,0.0,0.11984,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000106,-,chr1,-,292309,293909,0.88117,0.996729,1.064665,9.308675,8.224992,8.440236,1.982646,2.035168,1.200806,3.802014,4.577127,6.089713
FGRAM000v1_000107,-,chr1,+,295187,296282,1.613587,2.242839,1.657696,2.29214,3.927386,3.717965,1.744029,3.276253,2.737735,2.764164,2.527784,3.77513
FGRAM000v1_000108,-,chr1,+,296930,298204,8.811938,11.384248,8.051213,14.662662,17.313934,23.904345,8.658651,7.509575,10.425806,6.85703,7.526245,9.020615
FGRAM000v1_000109,.,chr1,-,298436,299677,0.0,0.0,0.0,0.0,0.0,0.154606,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000110,-,chr1,-,300590,301621,9.67651,5.803992,12.122629,23.236842,16.97282,17.464846,13.958727,14.27511,18.831737,21.055384,19.601168,20.310823
FGRAM000v1_000111,-,chr1,-,302373,304925,7.764532,10.064997,8.047261,10.081474,9.600775,11.316582,11.9969,13.625568,13.777517,16.362079,16.766007,17.541996
FGRAM000v1_000112,-,chr1,-,305587,307191,3.81803,2.90338,3.463997,3.500029,3.803518,3.490195,3.280583,3.588129,3.009094,4.246903,2.812706,4.954808
FGRAM000v1_000113,-,chr1,+,307755,309633,0.0,0.0,0.0,0.252544,0.0,0.0,0.0,0.432533,0.384114,0.0,0.0,0.0
FGRAM000v1_000114,-,chr1,-,309797,310918,2.257542,1.186114,1.150285,0.949311,0.322979,0.382915,1.837986,3.382,3.305304,1.033545,1.991081,0.469284
FGRAM000v1_000115,.,chr1,+,311738,313574,0.0,0.0,0.0,0.0,0.0,0.3742,0.360964,0.73369,0.736511,0.0,0.0,0.0
FGRAM000v1_000116,-,chr1,+,314118,316202,0.090596,0.069936,0.0,0.0,0.0,0.0,0.258626,0.241803,0.20813,0.0,0.0,0.0
FGRAM000v1_000117,-,chr1,+,316378,316804,9.999603,9.804142,11.374091,0.0,1.428174,2.280482,17.750663,14.827383,18.853315,2.73896,1.711966,0.0
FGRAM000v1_000118,.,chr1,-,317156,318824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000119,.,chr1,+,319464,322170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000120,.,chr1,+,324715,325737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000121,.,chr1,-,326072,327097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000122,-,chr1,+,327527,329224,0.866874,0.638617,0.763841,0.0,0.285774,0.358785,0.653523,0.159511,0.704278,0.266123,0.145763,0.0
FGRAM000v1_000123,-,chr1,-,329412,331415,2.781755,5.244228,3.872388,2.548581,3.960898,5.156199,4.241446,6.727516,5.865275,2.896022,4.036913,1.790468
FGRAM000v1_000124,-,chr1,+,332138,333683,2.293751,3.572789,1.507697,6.674813,8.983254,6.159855,3.803953,4.881136,5.170931,5.373305,5.760654,5.118219
FGRAM000v1_000125,-,chr1,+,334412,335221,0.652464,0.178751,0.0,0.975431,0.98823,1.777119,0.0,0.440328,0.310978,0.998124,0.386727,0.920477
FGRAM000v1_000126,.,chr1,-,335806,336384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000127,-,chr1,+,337607,339306,1.759051,2.130904,1.608385,3.533511,5.592962,4.652101,0.850482,1.803762,2.116359,6.608925,8.317702,8.261042
FGRAM000v1_000128,.,chr1,-,339603,342663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000129,-,chr1,-,342921,344946,0.336963,1.161376,0.517953,0.596366,0.705909,0.635803,0.670366,0.239877,1.205043,0.0,0.0,0.274608
FGRAM000v1_000130,.,chr1,-,346025,346561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000131,-,chr1,-,346977,348277,0.0,0.0,0.0,0.578079,0.397488,0.368532,0.508069,0.0,0.509952,0.0,0.0,0.0
FGRAM000v1_000132,.,chr1,+,349782,350659,0.0,0.0,0.0,0.0,0.0,0.372056,0.0,0.0,0.0,0.0,0.691252,0.0
FGRAM000v1_000133,-,chr1,-,350767,352541,3.896521,4.254677,4.747093,4.012928,3.593452,3.890978,4.893081,6.366506,5.338974,4.976664,5.586557,6.459298
FGRAM000v1_000134,-,chr1,+,353828,355132,0.563857,0.0,0.0,1.226662,0.0,0.270791,0.0,1.374204,0.861106,0.969684,1.367334,0.731046
FGRAM000v1_000135,-,chr1,+,357516,359570,0.260109,0.385762,0.277145,0.17903,0.118366,0.387208,0.526897,0.185305,0.121362,0.172646,0.218926,0.066208
FGRAM000v1_000136,.,chr1,+,359965,362568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000138,.,chr1,-,363335,364249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000139,-,chr1,+,366233,367135,0.752168,0.975695,1.386856,3.063068,1.889725,0.706786,1.256297,0.296977,2.017556,2.673923,2.939354,1.972282
FGRAM000v1_000140,.,chr1,+,368001,370256,0.0,0.0,0.0,0.0,0.10177,0.0,0.095895,0.0,0.109996,0.0,0.0,0.0
FGRAM000v1_000141,-,chr1,+,372288,374110,0.0,0.106748,0.0,0.884589,0.750931,0.818721,0.0,0.438617,0.294487,1.401577,1.341528,0.834783
FGRAM000v1_000142,-,chr1,-,374257,375955,2.015591,2.695354,2.691173,0.0,0.573622,0.0,3.491853,2.914221,3.95217,0.653293,0.503632,0.700477
FGRAM000v1_000143,-,chr1,+,376590,377723,2.726051,2.532343,2.034351,1.835103,2.804351,1.780352,3.766061,3.23389,4.318551,1.558909,1.428991,1.600503
FGRAM000v1_000144,.,chr1,+,378743,379777,0.0,0.148822,0.015414,0.0,0.0,0.133473,0.0,0.0,0.121688,0.612814,0.723635,0.419342
FGRAM000v1_000145,.,chr1,+,381310,382482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.700198
FGRAM000v1_000146,.,chr1,-,383256,383759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000147,.,chr1,+,385354,385850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000148,-,chr1,-,386206,386692,6.145845,7.759089,7.913268,35.026593,24.542312,33.984208,17.540422,14.514382,17.198568,62.503586,66.433332,59.918627
FGRAM000v1_000149,.,chr1,+,388495,388898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000150,.,chr1,-,389177,390495,0.0,0.0,0.355539,0.0,0.436329,0.0,0.0,0.233135,0.545035,0.777509,0.603061,0.0
FGRAM000v1_000151,-,chr1,+,391473,393342,2.27609,2.462442,2.373877,3.685046,3.408309,3.665554,3.053439,2.573553,2.503456,6.945131,5.962513,6.786094
FGRAM000v1_000152,-,chr1,+,393834,394768,0.0,0.564021,0.0,1.102436,0.40056,0.0,0.730139,0.830628,1.672069,0.0,0.0,0.0
FGRAM000v1_000153,.,chr1,-,395220,396738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000154,.,chr1,-,399162,400457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000155,.,chr1,+,400819,402015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000156,.,chr1,-,402778,404642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000157,.,chr1,-,404879,406375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000158,.,chr1,+,406966,407905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000159,.,chr1,+,408473,409592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000160,.,chr1,+,410334,414245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000161,.,chr1,+,414338,414535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000162,-,chr1,+,415140,416099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000163,-,chr1,-,415886,417731,3.728601,8.296872,4.688865,6.692168,7.031791,5.684175,7.984582,8.436574,6.903406,10.823198,9.466282,8.415844
FGRAM000v1_000164,.,chr1,+,418705,421270,0.0,0.0,0.0,0.0,0.203069,0.41684,0.0,0.13957,0.0,0.337375,0.0,0.51634
FGRAM000v1_000165,-,chr1,-,421350,423882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401936,0.0,0.0,0.0
FGRAM000v1_000166,-,chr1,-,424444,425395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000167,-,chr1,-,425877,426662,0.141891,0.193354,0.0,0.506444,0.157892,0.0,0.492969,1.129316,0.304609,0.233195,0.283731,0.0
FGRAM000v1_000168,-,chr1,-,427185,429169,0.0,0.596464,0.0,0.325119,0.763871,1.006829,0.596177,0.518492,0.0,0.51109,0.657308,0.452771
FGRAM000v1_000169,.,chr1,+,429856,430497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211925
FGRAM000v1_000170,-,chr1,+,430969,431924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985628,0.0,0.0
FGRAM000v1_000171,.,chr1,+,432893,435165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
