gene_id,FGSG_id,Gene Name,Reference,Strand,Start,End,B10_S1,B11_S2,B12_S3,D10_S4,D11_S5,D12_S6,H13_S7,H14_S8,H15_S9,L13_S10,L14_S11,L15_S12
FGRAM000v1_000023,,-,chr1,-,70246,71768,104.214369,126.435775,102.333572,459.152647,520.242715,493.874344,227.172754,258.813071,264.277333,508.55179,521.590304,507.417671
FGRAM000v1_000024,FGSG_11645,-,chr1,+,73688,75736,0.046903,0.0,0.0,0.0,0.0,0.189691,0.040349,0.0,0.0,0.052235,0.108117,0.253344
FGRAM000v1_000025,,.,chr1,+,76814,77164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000026,,.,chr1,-,77867,78759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000027,,.,chr1,-,79384,80149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000028,,-,chr1,+,81855,83862,4.457856,5.5153,4.472537,11.161063,11.73582,9.906478,7.667384,9.113737,9.717937,15.547805,15.658191,15.650845
FGRAM000v1_000029,,-,chr1,-,84152,85708,0.104425,0.229193,0.177962,0.927557,0.925054,0.634287,0.221976,0.201886,0.339623,1.228487,0.959912,1.777604
FGRAM000v1_000030,,-,chr1,+,86666,88324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000031,FGSG_11648,.,chr1,+,89257,90559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195083,0.0,0.0
FGRAM000v1_000032,,.,chr1,+,91331,92529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314492,0.0
FGRAM000v1_000033,,-,chr1,-,92766,94041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000034,,-,chr1,+,94967,96859,0.0,0.235269,0.0,0.343581,0.0,0.0,1.631108,2.254702,2.09303,0.252964,0.268373,0.0
FGRAM000v1_000035,,.,chr1,+,98066,99280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000036,,-,chr1,+,99781,101745,0.362963,0.263003,0.582543,0.163169,0.14505,0.348328,0.239788,0.362234,0.423543,0.152079,0.2776,0.353902
FGRAM000v1_000037,,-,chr1,+,102145,104120,27.996737,26.292112,29.639992,21.191153,22.616929,20.939389,30.094373,29.428954,31.581842,25.083593,23.151066,23.621916
FGRAM000v1_000038,,-,chr1,+,104442,106192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167509,0.147636,0.181734
FGRAM000v1_000039,,.,chr1,-,106304,109822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000040,FGSG_11651,-,chr1,-,112387,112837,3.467178,5.503703,2.859728,19.635279,19.301723,27.907213,6.123346,4.774297,3.174338,32.903361,30.833757,37.368173
FGRAM000v1_000041,FGSG_11652,.,chr1,-,113290,114151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241487,0.0
FGRAM000v1_000042,,.,chr1,+,114966,115757,0.0,0.0,0.0,0.176242,0.329736,0.0,0.025116,0.0,0.0,0.216756,0.414778,0.104579
FGRAM000v1_000043,,-,chr1,+,116178,117434,5.598511,6.336382,6.326145,11.115495,11.815117,13.139842,9.143686,10.767994,8.203539,17.101015,16.228442,16.95851
FGRAM000v1_000044,FGSG_00025,-,chr1,-,117562,119359,2.670255,1.897699,1.972949,3.001684,3.320968,2.896485,1.186646,2.256696,2.200469,2.217792,1.802829,1.723295
FGRAM000v1_000045,,-,chr1,+,119708,121237,1.142355,0.865869,1.128587,0.786319,0.820221,0.163904,0.0,0.395179,0.369992,0.662094,0.76054,0.729847
FGRAM000v1_000046,,-,chr1,-,121389,122906,0.048179,0.052053,0.173471,0.0,0.0,0.046163,0.059786,0.146345,0.057475,0.0,0.0,0.0
FGRAM000v1_000047,,.,chr1,-,123521,124401,0.0,0.0,0.0,0.0,0.349473,0.0,0.151649,0.184341,0.0,0.142061,0.594659,0.0
FGRAM000v1_000048,,-,chr1,-,126575,127641,0.0,0.0,0.0,0.506997,0.396057,0.0,0.0,0.0,0.0,0.0,0.481763,0.0
FGRAM000v1_000049,,-,chr1,-,128646,129924,0.644125,0.521091,0.410615,0.29955,1.026909,0.625513,0.746139,0.565161,0.946158,0.795209,1.39152,1.601758
FGRAM000v1_000050,FGSG_00031,.,chr1,+,130730,134954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000051,,-,chr1,-,135236,136072,0.332904,0.319761,0.529439,0.932076,1.242848,0.504285,0.698107,0.126388,0.271925,1.141993,2.150022,1.28252
FGRAM000v1_000052,,-,chr1,-,136677,137587,1.525755,2.228119,1.514801,5.478476,4.676207,6.338578,2.755527,3.561195,3.320939,3.357551,4.762769,3.88773
FGRAM000v1_000053,,.,chr1,-,138476,140223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000054,,-,chr1,-,141156,142703,1.55948,2.198634,2.765549,1.099452,0.673874,1.02118,2.498095,2.106746,2.126532,1.182234,0.837577,1.033561
FGRAM000v1_000055,,-,chr1,-,143000,145263,0.195196,0.276597,0.0,0.0,0.307139,0.0,0.316141,0.281906,0.22205,0.415934,0.380021,0.384846
FGRAM000v1_000056,FGSG_00036,-,chr1,-,145658,150697,507.076701,622.641902,440.170455,249.961734,331.775494,254.95959,619.571714,938.503923,732.289,597.479508,593.810072,556.879511
FGRAM000v1_000057,FGSG_15680,-,chr1,+,151750,153036,1368.46585,1401.779045,1522.816668,662.09895,683.08903,664.602341,1976.426468,1878.535211,2102.461621,978.140948,1020.936751,948.569324
FGRAM000v1_000058,FGSG_11656,-,chr1,+,153701,160141,102.680606,138.359283,85.391695,55.310239,84.172575,59.766833,90.465666,199.657656,119.351013,159.513953,166.265071,145.307349
FGRAM000v1_000059,FGSG_00038,-,chr1,-,160290,160958,5.252601,2.892243,2.625157,1.101657,1.916914,4.316999,6.068569,5.548824,4.752547,2.648353,1.5646,5.13716
FGRAM000v1_000060,FGSG_00039,-,chr1,+,161891,162967,3.033352,2.406355,3.006108,3.057886,4.550697,3.872943,2.954535,4.599652,5.021172,4.636302,4.337176,3.97851
FGRAM000v1_000061,,-,chr1,-,163229,165578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068528,0.0
FGRAM000v1_000062,,-,chr1,-,167833,170927,1.093295,1.03999,0.705437,0.381718,0.100555,0.0,1.181147,1.226731,1.689006,0.88332,0.509876,0.224661
FGRAM000v1_000063,,-,chr1,-,171341,172428,338.912791,372.699611,299.785062,243.128679,245.505841,259.01012,358.394398,403.91203,403.638448,324.106901,336.880698,358.177513
FGRAM000v1_000064,,-,chr1,-,177410,190857,58.85114,92.133319,54.060652,19.577162,0.0,0.0,0.0,122.749077,46.306792,87.543296,102.438834,87.047401
FGRAM000v1_000065,,-,chr1,-,190913,198263,11.077345,15.064942,35.224967,5.798474,10.032027,7.314237,10.092687,22.184992,12.182832,25.989047,38.75675,24.194579
FGRAM000v1_000066,FGSG_00043,-,chr1,-,199051,200085,3624.29296,3767.853414,3608.202835,1758.14849,1776.033396,1754.478078,4801.242857,5037.289207,5286.905307,2395.221977,2526.403344,2477.358878
FGRAM000v1_000067,FGSG_00044,-,chr1,+,200324,201292,2093.975257,2168.598538,1964.456822,881.349421,929.232839,918.170202,2927.94642,3106.369704,3155.828856,1350.539803,1447.813214,1393.232909
FGRAM000v1_000068,,-,chr1,-,202246,203007,696.259475,745.624769,711.907791,774.738533,759.853612,772.375151,916.866863,946.685016,1004.025591,923.807088,993.723877,926.205465
FGRAM000v1_000069,FGSG_00046,-,chr1,+,203559,208625,439.054429,517.449355,419.798386,389.582804,507.753322,419.655093,609.744084,802.568366,733.236438,773.7228,778.717014,750.636807
FGRAM000v1_000070,,-,chr1,+,209093,210926,744.821651,805.3205,712.246769,384.096709,446.932012,443.352069,1109.025477,1116.129034,1266.609215,608.159059,634.8325,634.720085
FGRAM000v1_000071,FGSG_00048,-,chr1,+,211641,212901,3341.665536,3692.052734,3392.861608,1374.616801,1633.684168,1521.285775,4979.845388,4991.76273,5473.815479,2496.970903,2523.839599,2442.469857
FGRAM000v1_000072,,-,chr1,+,213485,214990,2407.254007,2867.75354,2050.908994,1263.774153,1692.090887,1352.987584,2831.499105,4189.250338,3576.961862,2584.04999,2727.714542,2684.122037
FGRAM000v1_000073,,-,chr1,+,216692,217648,303.34841,334.860661,292.21028,272.820997,289.533209,271.529467,285.023249,327.089797,321.723811,246.99602,235.527376,249.682857
FGRAM000v1_000074,,-,chr1,-,217735,218887,19.90997,26.235855,26.835208,22.816104,25.15583,27.757936,22.471714,22.573135,29.232565,33.386192,38.89786,32.574835
FGRAM000v1_000075,,-,chr1,+,219527,220686,5.202659,5.400253,3.153283,0.743577,0.487342,0.469817,3.725319,5.324869,4.957558,1.137133,0.543753,1.081931
FGRAM000v1_000076,,-,chr1,-,221802,223199,137.62746,158.95612,120.267518,386.280772,488.56132,396.769923,147.495994,223.856141,192.679487,607.120959,650.342402,646.750912
FGRAM000v1_000077,,-,chr1,+,223982,224911,14.155908,15.478705,15.756036,55.178087,52.945034,59.838076,22.354652,22.115204,26.326678,72.273687,73.476898,72.705642
FGRAM000v1_000078,FGSG_00055,-,chr1,-,225087,234492,0.0,0.0,0.0,0.0,0.0,0.0,0.030038,0.0,0.0,0.0,0.0,0.021655
FGRAM000v1_000079,,-,chr1,-,235303,235863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000080,FGSG_11662,-,chr1,+,237525,239054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262981,0.346178,0.0,0.0,0.0
FGRAM000v1_000081,,-,chr1,+,239273,239692,0.0,0.0,0.0,0.289565,0.539112,0.0,0.0,0.0,0.0,0.349448,0.366691,0.187444
FGRAM000v1_000082,,-,chr1,+,240866,243410,0.761157,0.705951,0.526394,0.310466,0.697099,0.76986,0.483033,0.898204,0.161993,0.927519,0.969683,1.336251
FGRAM000v1_000083,,-,chr1,+,243890,245491,0.037729,0.0,0.0,0.0,0.065477,0.0,0.0,0.049054,0.0,0.0,0.0,0.0
FGRAM000v1_000084,,-,chr1,-,246636,248505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000085,FGSG_11666,-,chr1,-,249017,249835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000086,,-,chr1,+,250195,251152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000087,,-,chr1,-,251276,252837,0.705363,0.694442,0.0,1.621018,1.646891,1.282766,1.010172,1.130184,1.664568,1.82387,2.016113,1.367863
FGRAM000v1_000088,,-,chr1,+,253843,254213,178.017474,185.771612,226.239768,471.8184,474.320141,476.142507,162.380262,151.019833,190.586983,206.320903,202.27687,217.029336
FGRAM000v1_000089,,-,chr1,-,255431,255887,0.0,0.0,0.0,3.543761,1.768335,1.736311,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000090,,-,chr1,+,256652,257029,0.0,0.0,0.0,0.696492,2.212332,1.215791,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000091,,-,chr1,+,258302,258869,5.339486,3.988958,4.362087,13.894385,8.671026,12.291014,3.909359,2.396723,4.563877,3.605457,1.73961,2.266399
FGRAM000v1_000092,,-,chr1,-,258933,260618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000093,,-,chr1,+,262667,264011,4.196377,5.678757,3.619814,7.718223,6.796824,7.732789,5.362967,3.564041,4.074822,8.455918,6.582107,8.307381
FGRAM000v1_000094,,-,chr1,+,265150,265721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000095,,-,chr1,-,266071,267171,0.500669,0.171319,0.260591,0.497074,1.588742,0.799296,1.208785,0.923761,1.354719,0.413869,0.673226,0.814109
FGRAM000v1_000096,,-,chr1,+,269564,270812,11.853897,16.61809,15.441535,16.638914,16.526984,15.525905,12.704372,9.926927,11.259223,5.544739,5.071014,7.147938
FGRAM000v1_000097,,-,chr1,+,271490,273108,1.091292,0.931598,0.795237,0.48764,0.682217,0.752279,0.948526,1.265646,1.969242,1.04546,0.764981,0.990587
FGRAM000v1_000098,,-,chr1,+,273512,276041,0.0,0.284056,0.0,1.62585,3.119856,1.691566,1.01012,0.518633,0.853473,2.991988,3.701074,2.213364
FGRAM000v1_000099,,-,chr1,-,276023,278042,3.601409,4.130434,3.306413,3.706745,4.755837,3.434022,3.302135,3.894419,3.963777,5.336286,6.749112,6.904833
FGRAM000v1_000100,FGSG_00070,-,chr1,+,278281,280185,0.531768,0.11875,0.172788,0.363459,0.829358,0.337056,0.370357,0.360951,0.16846,1.398746,0.961382,0.94663
FGRAM000v1_000101,,-,chr1,+,282627,284381,1085.372509,1141.397576,1094.118532,2780.947175,3254.370693,3042.059821,2394.699352,2426.255859,2545.326346,2986.00434,2798.081459,2717.216195
FGRAM000v1_000102,FGSG_00072,-,chr1,+,285065,286269,0.743302,0.537964,0.421592,1.890799,0.930548,1.090706,1.283259,1.685506,1.341704,2.828167,2.206683,2.111194
FGRAM000v1_000103,,.,chr1,-,286351,287419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000104,,.,chr1,+,288142,289470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000105,,.,chr1,+,290123,291805,0.0,0.0,0.0,0.060355,0.0,0.070687,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000106,,-,chr1,-,292309,293909,0.530087,0.618535,0.655735,5.332494,4.794422,4.978431,1.145052,1.146891,0.730572,2.220108,2.693787,3.670535
FGRAM000v1_000107,,-,chr1,+,295187,296282,0.970688,1.391826,1.020987,1.313057,2.289309,2.193023,1.007242,1.846287,1.66564,1.614077,1.487682,2.275435
FGRAM000v1_000108,,-,chr1,+,296930,298204,5.301009,7.064659,4.958799,8.399537,10.092448,14.099857,5.000695,4.231916,6.34307,4.004022,4.429437,5.437117
FGRAM000v1_000109,,.,chr1,-,298436,299677,0.0,0.0,0.0,0.0,0.0,0.091193,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000110,,-,chr1,-,300590,301621,5.821111,3.601751,7.466413,13.311274,9.893609,10.301551,8.061686,8.044539,11.457246,12.294859,11.535919,12.242217
FGRAM000v1_000111,,-,chr1,-,302373,304925,4.67092,6.245979,4.956365,5.775194,5.596378,6.675028,6.928658,7.678499,8.382254,9.5543,9.867335,10.573325
FGRAM000v1_000112,,-,chr1,-,305587,307191,2.296817,1.801734,2.1335,2.004999,2.217105,2.058674,1.894659,2.02204,1.830735,2.479892,1.655368,2.986479
FGRAM000v1_000113,,-,chr1,+,307755,309633,0.0,0.0,0.0,0.14467,0.0,0.0,0.0,0.243748,0.233696,0.0,0.0,0.0
FGRAM000v1_000114,,-,chr1,-,309797,310918,1.358072,0.73606,0.708469,0.543815,0.188267,0.22586,1.061506,1.905879,2.01095,0.603518,1.171815,0.282858
FGRAM000v1_000115,,.,chr1,+,311738,313574,0.0,0.0,0.0,0.0,0.0,0.22072,0.20847,0.413461,0.448094,0.0,0.0,0.0
FGRAM000v1_000116,,-,chr1,+,314118,316202,0.0545,0.0434,0.0,0.0,0.0,0.0,0.149366,0.136265,0.126627,0.0,0.0,0.0
FGRAM000v1_000117,,-,chr1,+,316378,316804,6.015474,6.084101,7.005383,0.0,0.832496,1.345131,10.251671,8.355765,11.470374,1.599359,1.007547,0.0
FGRAM000v1_000118,,.,chr1,-,317156,318824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000119,,.,chr1,+,319464,322170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000120,,.,chr1,+,324715,325737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000121,,.,chr1,-,326072,327097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000122,,-,chr1,+,327527,329224,0.521486,0.396303,0.470455,0.0,0.16658,0.211627,0.377434,0.08989,0.428483,0.155397,0.085786,0.0
FGRAM000v1_000123,,-,chr1,-,329412,331415,1.673424,3.254381,2.385031,1.45996,2.308843,3.041358,2.449594,3.791198,3.568439,1.691073,2.375853,1.079193
FGRAM000v1_000124,,-,chr1,+,332138,333683,1.379855,2.217146,0.928601,3.823681,5.236419,3.633359,2.196925,2.750696,3.145999,3.137631,3.39033,3.084974
FGRAM000v1_000125,,-,chr1,+,334412,335221,0.392504,0.110926,0.0,0.558778,0.576048,1.048225,0.0,0.248141,0.189199,0.582834,0.227601,0.554811
FGRAM000v1_000126,FGSG_00094,.,chr1,-,335806,336384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000127,,-,chr1,+,337607,339306,1.058195,1.322363,0.990616,2.024179,3.260188,2.744018,0.491185,1.016485,1.287595,3.859146,4.895236,4.97929
FGRAM000v1_000128,,.,chr1,-,339603,342663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000129,,-,chr1,-,342921,344946,0.202707,0.720709,0.319011,0.341629,0.411481,0.375025,0.387161,0.135179,0.733149,0.0,0.0,0.165518
FGRAM000v1_000130,,.,chr1,-,346025,346561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000131,FGSG_11675,-,chr1,-,346977,348277,0.0,0.0,0.0,0.331154,0.231699,0.217377,0.293429,0.0,0.310255,0.0,0.0,0.0
FGRAM000v1_000132,,.,chr1,+,349782,350659,0.0,0.0,0.0,0.0,0.0,0.219456,0.0,0.0,0.0,0.0,0.406824,0.0
FGRAM000v1_000133,,-,chr1,-,350767,352541,2.344035,2.640301,2.923768,2.298814,2.094655,2.295074,2.825937,3.587756,3.248237,2.906021,3.287869,3.8933
FGRAM000v1_000134,FGSG_00101,-,chr1,+,353828,355132,0.3392,0.0,0.0,0.702696,0.0,0.159725,0.0,0.774414,0.523898,0.566227,0.80472,0.440633
FGRAM000v1_000135,,-,chr1,+,357516,359570,0.156474,0.23939,0.170696,0.102558,0.068997,0.228393,0.304303,0.104426,0.073837,0.100813,0.128845,0.039906
FGRAM000v1_000136,,.,chr1,+,359965,362568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000138,,.,chr1,-,363335,364249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000139,,-,chr1,+,366233,367135,0.452483,0.605481,0.854174,1.754685,1.101537,0.416894,0.725558,0.167357,1.227483,1.561382,1.729905,1.18878
FGRAM000v1_000140,,.,chr1,+,368001,370256,0.0,0.0,0.0,0.0,0.059322,0.0,0.055383,0.0,0.066922,0.0,0.0,0.0
FGRAM000v1_000141,,-,chr1,+,372288,374110,0.0,0.066244,0.0,0.506739,0.437724,0.482918,0.0,0.247177,0.179166,0.818422,0.789532,0.50316
FGRAM000v1_000142,,-,chr1,-,374257,375955,1.212522,1.672641,1.657513,0.0,0.334369,0.0,2.016675,1.642269,2.404504,0.381477,0.296404,0.422208
FGRAM000v1_000143,,-,chr1,+,376590,377723,1.639914,1.571482,1.252971,1.051243,1.634682,1.050132,2.175041,1.822414,2.627411,0.910293,0.841008,0.964693
FGRAM000v1_000144,,.,chr1,+,378743,379777,0.0,0.092354,0.009494,0.0,0.0,0.078728,0.0,0.0,0.074035,0.35784,0.425882,0.252756
FGRAM000v1_000145,FGSG_00110,.,chr1,+,381310,382482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42204
FGRAM000v1_000146,FGSG_00111,.,chr1,-,383256,383759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000147,FGSG_00112,.,chr1,+,385354,385850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000148,,-,chr1,-,386206,386692,3.697164,4.815015,4.873838,20.065058,14.305934,20.045413,10.130249,8.179378,10.463625,36.497685,39.098156,36.115565
FGRAM000v1_000149,FGSG_00114,.,chr1,+,388495,388898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000150,FGSG_00115,.,chr1,-,389177,390495,0.0,0.0,0.218979,0.0,0.25434,0.0,0.0,0.13138,0.3316,0.454011,0.354921,0.0
FGRAM000v1_000151,,-,chr1,+,391473,393342,1.369231,1.528104,1.462088,2.110987,1.986734,2.162109,1.763475,1.45029,1.523105,4.055467,3.509131,4.090274
FGRAM000v1_000152,,-,chr1,+,393834,394768,0.0,0.350012,0.0,0.631533,0.23349,0.0,0.421683,0.468089,1.017288,0.0,0.0,0.0
FGRAM000v1_000153,,.,chr1,-,395220,396738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000154,,.,chr1,-,399162,400457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000155,FGSG_00120,.,chr1,+,400819,402015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000156,,.,chr1,-,402778,404642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000157,,.,chr1,-,404879,406375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000158,,.,chr1,+,406966,407905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000159,,.,chr1,+,408473,409592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000160,,.,chr1,+,410334,414245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000161,,.,chr1,+,414338,414535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000162,,-,chr1,+,415140,416099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000163,,-,chr1,-,415886,417731,2.243019,5.148743,2.887905,3.833623,4.098894,3.352782,4.611394,4.754314,4.200039,6.319984,5.571212,5.072595
FGRAM000v1_000164,,.,chr1,+,418705,421270,0.0,0.0,0.0,0.0,0.118371,0.245871,0.0,0.078653,0.0,0.197003,0.0,0.311221
FGRAM000v1_000165,,-,chr1,-,421350,423882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244538,0.0,0.0,0.0
FGRAM000v1_000166,FGSG_00128,-,chr1,-,424444,425395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
