gene_id,FGSG_id,product,fgsg_shared_with_other_gene
FGRAM000v1_000067,FGSG_00044,RecName: Full=AB hydrolase superfamily protein FGSG_00044,False
FGRAM000v1_000068,,Alpha/beta hydrolase fold-1 [Penicillium diatomitis],False
FGRAM000v1_000069,FGSG_00046,RecName: Full=ABC-type transporter FGSG_00046,False
FGRAM000v1_000070,,Alpha/Beta hydrolase protein [Ilyonectria robusta],False
FGRAM000v1_000071,FGSG_00048,RecName: Full=2-oxoglutarate-dependent dioxygenase FGSG_00048,False
FGRAM000v1_000072,,branched-chain amino acid aminotransferase II [Fusarium tjaetaba],False
FGRAM000v1_000073,,putative isoprenylcysteine alpha-carbonyl methylesterase icmel1 [Fusarium sporotrichioides],False
FGRAM000v1_000074,,Arylacetonitrilase [Fusarium culmorum],False
FGRAM000v1_000075,,Zn(II)Cys6 transcriptional activator [Fusarium phyllophilum],False
FGRAM000v1_000076,,aryl-alcohol dehydrogenase [Fusarium graminearum PH-1],False
FGRAM000v1_000077,,short chain dehydrogenase domain-containing protein [Trichoderma breve],False
FGRAM000v1_000078,FGSG_00055,hypothetical protein FGSG_00055 [Fusarium graminearum PH-1],False
FGRAM000v1_000079,,secreted protein [Fusarium sporotrichioides],False
FGRAM000v1_000080,FGSG_11662,hypothetical protein FGSG_11662 [Fusarium graminearum],False
FGRAM000v1_000081,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000082,,FAD-dependent monooxygenase andE [Fusarium culmorum],False
FGRAM000v1_000083,,beta-lactamase family [Fusarium subglutinans],False
FGRAM000v1_000084,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000085,FGSG_11666,hypothetical protein FGSG_11666 [Fusarium graminearum PH-1],False
FGRAM000v1_000086,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000087,,major facilitator superfamily domain-containing protein [Fusarium flagelliforme],False
FGRAM000v1_000088,,cardiolipin synthase [Fusarium longipes],False
FGRAM000v1_000089,,TOX1 [Fusarium pseudograminearum CS3096],False
FGRAM000v1_000090,,Kp4-like toxin protein 2 [Fusarium graminearum],False
FGRAM000v1_000091,,Kp4-like toxin protein 3 [Fusarium graminearum],False
FGRAM000v1_000092,,duf3433 domain-containing protein [Fusarium flagelliforme],False
FGRAM000v1_000093,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000094,,predicted protein [Fusarium vanettenii 77-13-4],False
FGRAM000v1_000095,,putative inactive dehydrogenase EasA [Fusarium culmorum],False
FGRAM000v1_000096,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000097,,general substrate transporter [Fusarium flagelliforme],False
FGRAM000v1_000098,,alpha-galactosidase C precursor [Fusarium graminearum PH-1],False
FGRAM000v1_000099,,fungal-specific transcription factor domain-containing protein [Fusarium venenatum],False
FGRAM000v1_000100,FGSG_00070,hypothetical protein FGSG_00070 [Fusarium graminearum PH-1],False
FGRAM000v1_000101,,cytochrome P450 monooxygenase [Fusarium graminearum],False
FGRAM000v1_000102,FGSG_00072,hypothetical protein FGSG_00072 [Fusarium graminearum PH-1],False
FGRAM000v1_000103,,WW domain-containing oxidoreductase [Fusarium odoratissimum],False
FGRAM000v1_000104,,NADH-dependent flavin oxidoreductase [Fusarium oxysporum],False
FGRAM000v1_000105,,Phthalate dioxygenase reductase [Fusarium culmorum],False
FGRAM000v1_000106,,N amino acid transport system protein [Fusarium culmorum],False
FGRAM000v1_000107,,putative alpha/beta hydrolase R526 [Fusarium culmorum],False
FGRAM000v1_000108,,NADP-dependent oxidoreductase domain-containing protein [Fusarium redolens],False
FGRAM000v1_000109,,lactamase [Fusarium graminearum],False
FGRAM000v1_000110,,arylamine N-acetyltransferase 1 [Fusarium graminearum],False
FGRAM000v1_000111,,transcription factor [Fusarium graminearum],False
FGRAM000v1_000112,,putative esterase/lipase [Fusarium culmorum],False
FGRAM000v1_000113,,related to allantoate permease [Fusarium fujikuroi],False
FGRAM000v1_000114,,Glutathione-binding protein gsiB [Fusarium odoratissimum],False
FGRAM000v1_000115,,pantothenate transporter liz1 [Fusarium tjaetaba],False
FGRAM000v1_000116,,Serine/threonine-protein kinase pkn1 [Fusarium oxysporum f. sp. conglutinans],False
FGRAM000v1_000117,,DUF953 domain [Fusarium acutatum],False
FGRAM000v1_000118,,Lactose permease [Fusarium culmorum],False
FGRAM000v1_000119,,related to beta-glucosidase [Fusarium oxysporum],False
FGRAM000v1_13350,,"Glycoside hydrolase, family 3, N-terminal [Fusarium oxysporum f. sp. vasinfectum]",False
FGRAM000v1_000120,,Hydrolase tropI [Fusarium culmorum],False
FGRAM000v1_000121,,L-carnitine dehydrogenase [Fusarium culmorum],False
FGRAM000v1_000122,,CoA-transferase family III domain-containing protein [Fusarium venenatum],False
FGRAM000v1_000123,,Acetamidase [Fusarium culmorum],False
FGRAM000v1_000124,,Salicylate hydroxylase [Fusarium culmorum],False
FGRAM000v1_000125,,serine threonine kinase [Fusarium longipes],False
FGRAM000v1_000126,FGSG_00094,hypothetical protein FGSG_00094 [Fusarium graminearum PH-1],False
FGRAM000v1_000127,,major facilitator superfamily domain-containing protein [Fusarium tricinctum],False
FGRAM000v1_000128,,Beta-galactosidase [Fusarium culmorum],False
FGRAM000v1_000129,,beta-galactosidase [Fusarium longipes],False
FGRAM000v1_000130,,multidrug resistance-associated abc transporter [Fusarium mexicanum],False
FGRAM000v1_000131,FGSG_11675,hypothetical protein FGSG_11675 [Fusarium graminearum PH-1],False
FGRAM000v1_000132,,alpha carbonic anhydrase [Fusarium redolens],False
FGRAM000v1_000133,,Bifunctional solanapyrone synthase [Fusarium culmorum],False
FGRAM000v1_000134,FGSG_00101,hypothetical protein FGSG_00101 [Fusarium graminearum PH-1],False
FGRAM000v1_000135,,glu asp-tRNA amidotransferase subunit A [Fusarium tjaetaba],False
FGRAM000v1_000136,,CHAT domain-containing protein [Fusarium avenaceum],False
FGRAM000v1_000138,,bnr repeat-containing glycosyl hydrolase [Fusarium sporotrichioides],False
FGRAM000v1_000139,,cadmium resistance transporter [Fusarium venenatum],False
FGRAM000v1_000140,,10 TM acyl transferase domain found in Cas1p-domain-containing protein [Fusarium venenatum],False
FGRAM000v1_000141,,quinate permease [Fusarium graminearum PH-1],False
FGRAM000v1_000142,,major facilitator superfamily domain-containing protein [Fusarium flagelliforme],False
FGRAM000v1_000143,,branched-chain amino acid aminotransferase [Fusarium sporotrichioides],False
FGRAM000v1_000144,,ankyrin repeat domain-containing protein [Fusarium globosum],False
FGRAM000v1_000145,FGSG_00110,hypothetical protein FGSG_00110 [Fusarium graminearum PH-1],False
FGRAM000v1_000146,FGSG_00111,hypothetical protein FGSG_00111 [Fusarium graminearum PH-1],False
FGRAM000v1_000147,FGSG_00112,hypothetical protein FGSG_00112 [Fusarium graminearum PH-1],False
FGRAM000v1_000148,,hypothetical protein HG531_002777 [Fusarium graminearum],False
FGRAM000v1_000149,FGSG_00114,hypothetical protein FGSG_00114 [Fusarium graminearum PH-1],False
FGRAM000v1_000150,FGSG_00115,hypothetical protein FGSG_00115 [Fusarium graminearum PH-1],False
FGRAM000v1_000151,,amino acid/polyamine transporter I [Fusarium venenatum],False
FGRAM000v1_000152,,acyl-CoA N-acyltransferase [Fusarium flagelliforme],False
FGRAM000v1_000153,,transmembrane amino acid transporter protein-domain-containing protein [Fusarium flagelliforme],False
FGRAM000v1_000154,,serine threonine kinase [Fusarium albosuccineum],False
FGRAM000v1_000155,FGSG_00120,hypothetical protein FGSG_00120 [Fusarium graminearum PH-1],False
FGRAM000v1_000156,,intracellular serine protease [Fusarium flagelliforme],False
FGRAM000v1_000157,,intracellular serine protease [Fusarium flagelliforme],False
FGRAM000v1_000158,,intracellular serine protease [Fusarium flagelliforme],False
FGRAM000v1_000159,,ankyrin repeat-containing domain protein [Fusarium flagelliforme],False
FGRAM000v1_000160,,ankyrin repeat-containing domain protein [Fusarium flagelliforme],False
FGRAM000v1_000161,,"unnamed protein product, partial [Fusarium graminearum]",False
FGRAM000v1_000162,,Alpha/Beta hydrolase protein [Fusarium venenatum],False
FGRAM000v1_000163,,Sterol uptake control protein 2 [Fusarium oxysporum f. sp. rapae],False
FGRAM000v1_000164,,beta- -xylosyltransferase 1 [Fusarium langsethiae],False
FGRAM000v1_000165,,Carnitine monooxygenase reductase subunit [Colletotrichum siamense],False
FGRAM000v1_000166,FGSG_00128,hypothetical protein FGSG_00128 [Fusarium graminearum PH-1],False
FGRAM000v1_000167,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000168,,heterokaryon incompatibility protein-domain-containing protein [Fusarium redolens],False
FGRAM000v1_000169,FGSG_00131,hypothetical protein FGSG_00131 [Fusarium graminearum PH-1],False
FGRAM000v1_000170,,Serine/threonine-protein kinase SRPK [Beauveria bassiana],False
FGRAM000v1_000171,,ankyrin repeat [Fusarium sp. NRRL 25303],False
FGRAM000v1_000172,,Ankycorbin [Fusarium culmorum],False
FGRAM000v1_000173,,crystal et79 [Fusarium coicis],False
FGRAM000v1_000174,FGSG_00135,hypothetical protein FGSG_00135 [Fusarium graminearum PH-1],False
FGRAM000v1_000175,,N amino acid transport system protein [Fusarium culmorum],False
FGRAM000v1_000176,,4-hydroxy-tetrahydrodipicolinate synthase [Fusarium culmorum],False
FGRAM000v1_000177,,aldehyde dehydrogenase [Fusarium graminearum],False
FGRAM000v1_000178,,aldehyde dehydrogenase [Fusarium graminearum PH-1],False
FGRAM000v1_000179,,ankyrin repeat-containing domain protein [Fusarium flagelliforme],False
FGRAM000v1_000180,,ribonuclease H-like domain-containing protein [Fusarium flagelliforme],False
FGRAM000v1_000181,,multicopper oxidase-domain-containing protein [Fusarium venenatum],False
FGRAM000v1_000182,,Alpha-glucosidase 2 [Fusarium oxysporum f. sp. cubense],False
FGRAM000v1_000183,,fungal-specific transcription factor domain-containing protein [Fusarium venenatum],False
FGRAM000v1_000184,,probable L-lactate dehydrogenase (cytochrome) [Fusarium proliferatum ET1],False
FGRAM000v1_000185,FGSG_11683,hypothetical protein FGSG_11683 [Fusarium graminearum PH-1],False
FGRAM000v1_000186,,D-3-phosphoglycerate dehydrogenase [Fusarium culmorum],False
FGRAM000v1_000187,,Pyrimidine pathway regulatory protein 1 [Fusarium odoratissimum],False
FGRAM000v1_000188,,major facilitator superfamily domain-containing protein [Fusarium oxysporum],False
FGRAM000v1_000189,,Ff.00g066380.m01.CDS01 [Fusarium sp. VM40],False
FGRAM000v1_000190,,Protein BNI4 [Fusarium oxysporum f. sp. albedinis],False
FGRAM000v1_000191,,endo-polygalacturonase 6 [Fusarium subglutinans],False
FGRAM000v1_000192,FGSG_00151,hypothetical protein FGSG_00151 [Fusarium graminearum PH-1],False
FGRAM000v1_000193,,tetracycline resistance (probable transport) [Fusarium subglutinans],False
FGRAM000v1_000194,,transcription factor [Fusarium langsethiae],False
FGRAM000v1_000195,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000196,FGSG_11689,hypothetical protein FGSG_11689 [Fusarium graminearum PH-1],False
FGRAM000v1_000197,FGSG_00156,hypothetical protein FGSG_00156 [Fusarium graminearum PH-1],False
FGRAM000v1_000198,,kinaselike domain [Fusarium sporotrichioides],False
FGRAM000v1_000199,,kinase-like domain-containing protein [Fusarium globosum],False
FGRAM000v1_000200,,Protein kinase-like domain protein [Metarhizium brunneum ARSEF 3297],False
FGRAM000v1_000201,FGSG_11690,hypothetical protein FGSG_11690 [Fusarium graminearum PH-1],False
FGRAM000v1_000202,FGSG_11691,hypothetical protein FGSG_11691 [Fusarium graminearum PH-1],False
FGRAM000v1_000203,FGSG_00160,hypothetical protein FGSG_00160 [Fusarium graminearum PH-1],False
FGRAM000v1_000204,,High-affinity methionine permease [Fusarium culmorum],False
FGRAM000v1_000205,FGSG_00162,hypothetical protein FGSG_00162 [Fusarium graminearum PH-1],False
FGRAM000v1_000206,,integral membrane protein [Paraphoma chrysanthemicola],False
FGRAM000v1_000207,FGSG_11692,hypothetical protein FGSG_11692 [Fusarium graminearum PH-1],False
FGRAM000v1_13351,FGSG_00164,hypothetical protein FGSG_00164 [Fusarium graminearum PH-1],False
FGRAM000v1_000208,,Unsaturated rhamnogalacturonyl hydrolase YesR [Fusarium culmorum],False
FGRAM000v1_000209,,putative beta-glucosidase E [Fusarium culmorum],False
FGRAM000v1_000210,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000211,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000212,,40S ribosomal protein MRP2 [Fusarium graminearum PH-1],False
FGRAM000v1_000213,,pre-mRNA-splicing factor CWC25 [Fusarium flagelliforme],False
FGRAM000v1_000214,,small GTPase rho3 [Purpureocillium lilacinum],False
FGRAM000v1_000215,,GTP-binding rho3 [Fusarium sporotrichioides],False
FGRAM000v1_000216,,NFX1-type zinc finger-containing protein 1 [Fusarium odoratissimum],False
FGRAM000v1_000217,,thioredoxin-like protein [Fusarium venenatum],False
FGRAM000v1_000218,,concanavalin A-like lectin/glucanase domain-containing protein [Fusarium redolens],False
FGRAM000v1_000219,,acyl-CoA N-acyltransferase [Fusarium flagelliforme],False
FGRAM000v1_000220,,citrate synthase-like protein [Fusarium redolens],False
FGRAM000v1_000221,,isocitrate lyase [Fusarium flagelliforme],False
FGRAM000v1_000222,,putative oxidoreductase YxbG [Fusarium culmorum],False
FGRAM000v1_000223,,Type-1 glutamine synthetase 2 [Fusarium culmorum],False
FGRAM000v1_000224,,ADP-ribose pyrophosphatase [Fusarium graminearum PH-1],False
FGRAM000v1_000225,,tRNA-Gly,False
FGRAM000v1_000226,,"Nudix hydrolase 14, chloroplastic [Fusarium culmorum]",False
FGRAM000v1_000227,,S-adenosyl-L-methionine-dependent methyltransferase [Fusarium flagelliforme],False
FGRAM000v1_000228,,Ubiquitin thioesterase OTUB1 [Fusarium culmorum],False
FGRAM000v1_000229,FGSG_00181,hypothetical protein FGSG_00181 [Fusarium graminearum PH-1],False
FGRAM000v1_000230,,COP9 signalosome complex subunit 2 [Fusarium graminearum PH-1],False
FGRAM000v1_000231,,major facilitator superfamily domain-containing protein [Fusarium flagelliforme],False
FGRAM000v1_000232,,putative xylanase 1 [Fusarium flagelliforme],False
FGRAM000v1_000233,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000235,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000234,,Alpha/Beta hydrolase protein [Fusarium flagelliforme],False
FGRAM000v1_000236,,pre-mRNA-splicing factor isy-1 [Fusarium graminearum PH-1],False
FGRAM000v1_000237,,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1 [Fusarium flagelliforme],False
FGRAM000v1_000238,,"n19m, NADH-ubiquinone oxidoreductase 9.5 kDa subunit [Fusarium irregulare]",False
FGRAM000v1_000239,,Beige 1 [Fusarium venenatum],False
FGRAM000v1_000240,,ribokinase-like protein [Fusarium flagelliforme],False
FGRAM000v1_000241,,cerevisin precursor [Fusarium graminearum PH-1],False
FGRAM000v1_000242,FGSG_00193,hypothetical protein FGSG_00193 [Fusarium graminearum PH-1],False
FGRAM000v1_000243,,Platelet-activating factor acetylhydrolase 2 [Fusarium culmorum],False
FGRAM000v1_000244,,major facilitator superfamily domain-containing protein [Fusarium redolens],False
FGRAM000v1_000245,,transcription factor [Fusarium sporotrichioides],False
FGRAM000v1_000246,,major facilitator superfamily domain-containing protein [Fusarium flagelliforme],False
FGRAM000v1_000247,FGSG_00198,hypothetical protein FGSG_00198 [Fusarium graminearum PH-1],False
FGRAM000v1_000248,,Ff.00g087160.m01.CDS01 [Fusarium sp. VM40],False
FGRAM000v1_000249,,Versicolorin B synthase [Fusarium culmorum],False
FGRAM000v1_000250,,integral membrane protein PTH11 [Fusarium pseudoanthophilum],False
FGRAM000v1_000251,,Interferon-induced GTP-binding protein Mx [Fusarium culmorum],False
FGRAM000v1_000252,FGSG_11706,hypothetical protein FGSG_11706 [Fusarium graminearum PH-1],False
FGRAM000v1_000253,,transcription factor [Fusarium langsethiae],False
FGRAM000v1_000254,,heterokaryon incompatibility protein-domain-containing protein [Ilyonectria robusta],False
FGRAM000v1_000255,,tetratricopeptide-like helical domain [Fusarium flagelliforme],False
FGRAM000v1_000256,,transcriptional regulatory [Fusarium sporotrichioides],False
FGRAM000v1_000257,,quinon protein alcohol dehydrogenase-like superfamily [Fusarium oxysporum f. sp. albedinis],False
FGRAM000v1_000258,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_13352,,PARP catalytic domain-containing protein [Fusarium falciforme],False
FGRAM000v1_000259,,hypothetical protein FG05_00207 [Fusarium graminearum],False
FGRAM000v1_000260,,patatinlike serine hydrolase [Fusarium sporotrichioides],False
FGRAM000v1_000261,,fido domain-containing protein [Fusarium tricinctum],False
FGRAM000v1_000262,FGSG_00209,hypothetical protein FGSG_00209 [Fusarium graminearum PH-1],False
FGRAM000v1_000263,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000264,,RTA1 like protein-domain-containing protein [Fusarium flagelliforme],False
FGRAM000v1_000265,,sterol regulatory element-binding ECM22 [Fusarium napiforme],False
FGRAM000v1_000266,,alcohol dehydrogenase Bli-4 [Fusarium tjaetaba],False
FGRAM000v1_000267,,RRR1 [Fusarium pseudograminearum CS3096],False
FGRAM000v1_000268,,Ff.00g040370.m01.CDS01 [Fusarium sp. VM40],False
FGRAM000v1_000269,,Transcription factor vrtR1 [Fusarium culmorum],False
FGRAM000v1_000270,,renal dipeptidase family [Fusarium venenatum],False
FGRAM000v1_000271,,putative transporter [Fusarium culmorum],False
FGRAM000v1_000272,,creatine transporter [Fusarium langsethiae],False
FGRAM000v1_000273,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000274,,transcriptional corepressor ssn6 [Fusarium langsethiae],False
FGRAM000v1_000275,,transcriptional corepressor ssn6 [Fusarium sporotrichioides],False
FGRAM000v1_000276,,"erg26, C-3 sterol dehydrogenase [Fusarium oxysporum]",False
FGRAM000v1_000277,FGSG_00224,hypothetical protein FGSG_00224 [Fusarium graminearum PH-1],False
FGRAM000v1_000278,,pyrimidine 5'-nucleotidase [Fusarium redolens],False
FGRAM000v1_000279,,putative drug/proton antiporter YHK8 [Fusarium culmorum],False
FGRAM000v1_000280,,Cutinase transcription factor 1 alpha [Fusarium culmorum],False
FGRAM000v1_000281,FGSG_11715,hypothetical protein FGSG_11715 [Fusarium graminearum PH-1],False
FGRAM000v1_000282,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000283,,hypothetical protein FGRA07_06747 [Fusarium graminearum],False
FGRAM000v1_000284,FGSG_00230,hypothetical protein FGSG_00230 [Fusarium graminearum PH-1],False
FGRAM000v1_000285,FGSG_11717,hypothetical protein FGSG_11717 [Fusarium graminearum PH-1],False
FGRAM000v1_000286,,putative formaldehyde dehydrogenase AdhA [Fusarium culmorum],False
FGRAM000v1_000287,FGSG_00232,hypothetical protein FGSG_00232 [Fusarium graminearum PH-1],False
FGRAM000v1_000288,FGSG_11719,hypothetical protein FGSG_11719 [Fusarium graminearum PH-1],False
FGRAM000v1_000289,FGSG_00233,hypothetical protein FGSG_00233 [Fusarium graminearum PH-1],False
FGRAM000v1_000290,,chaperonin 10-like protein [Diaporthaceae sp. PMI_573],False
FGRAM000v1_000291,FGSG_00235,hypothetical protein FGSG_00235 [Fusarium graminearum PH-1],False
FGRAM000v1_000292,,alcohol dehydrogenase [Fusarium sporotrichioides],False
FGRAM000v1_000293,,transferase [Fusarium redolens],False
FGRAM000v1_000294,,arginase family protein [Fusarium langsethiae],False
FGRAM000v1_000295,FGSG_11722,hypothetical protein FGSG_11722 [Fusarium graminearum PH-1],False
FGRAM000v1_000296,FGSG_11723,hypothetical protein FGSG_11723 [Fusarium graminearum PH-1],False
FGRAM000v1_000297,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000298,,counting factor 60 [Fusarium sporotrichioides],False
FGRAM000v1_000299,,hypothetical protein FG05_00240 [Fusarium graminearum],False
FGRAM000v1_000300,,hypothetical protein FG05_11725 [Fusarium graminearum],False
FGRAM000v1_000301,FGSG_11726,hypothetical protein FGSG_11726 [Fusarium graminearum PH-1],False
FGRAM000v1_000302,,ATPase family AAA domain-containing protein 1 [Colletotrichum fructicola],False
FGRAM000v1_000303,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000304,,heterokaryon incompatibility protein-domain-containing protein [Fusarium solani],False
FGRAM000v1_000305,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000306,,putative catechol O-methyltransferase 2 [Fusarium culmorum],False
FGRAM000v1_000308,FGSG_11730,hypothetical protein FGSG_11730 [Fusarium graminearum PH-1],False
FGRAM000v1_000309,FGSG_11731,hypothetical protein FGSG_11731 [Fusarium graminearum PH-1],False
FGRAM000v1_000310,FGSG_00245,hypothetical protein FGSG_00245 [Fusarium graminearum PH-1],False
FGRAM000v1_000311,,tsa antioxidant enzyme protein [Fusarium langsethiae],False
FGRAM000v1_000312,,hypothetical protein FCULG_00002853 [Fusarium culmorum],False
FGRAM000v1_000313,,Poly(A) RNA polymerase cid13 [Fusarium culmorum],False
FGRAM000v1_000314,,dehydrogenase protein [Fusarium sporotrichioides],False
FGRAM000v1_000315,,hypothetical protein NXS19_000306 [Fusarium pseudograminearum],False
FGRAM000v1_000316,,galactose oxidase precursor [Fusarium graminearum PH-1],False
FGRAM000v1_000317,,galactose oxidase precursor [Fusarium longipes],False
FGRAM000v1_000318,FGSG_00253,hypothetical protein FGSG_00253 [Fusarium graminearum PH-1],False
FGRAM000v1_000319,FGSG_00254,hypothetical protein FGSG_00254 [Fusarium graminearum PH-1],False
FGRAM000v1_000320,FGSG_00255,hypothetical protein FGSG_00255 [Fusarium graminearum PH-1],False
