gene_id	GO	aspect	name	namespace
FGSG_00065	GO:0016491	F	probable NADPH2 dehydrogenase chain OYE2	MF
FGSG_00065	GO:0055114	P	probable NADPH2 dehydrogenase chain OYE2	BP
FGSG_00066	GO:0016620	F	related to nucleoside-diphosphate-sugar epimerase	MF
FGSG_00066	GO:0051287	F	related to nucleoside-diphosphate-sugar epimerase	MF
FGSG_00066	GO:0055114	P	related to nucleoside-diphosphate-sugar epimerase	BP
FGSG_00067	GO:0016021	C	related to hexose transporter	CC
FGSG_00067	GO:0022891	F	related to hexose transporter	MF
FGSG_00067	GO:0055085	P	related to hexose transporter	BP
FGSG_00068	GO:0004557	F	alpha-galactosidase 2	MF
FGSG_00068	GO:0005975	P	alpha-galactosidase 2	BP
FGSG_00069	GO:0005634	C	related to transcription activator amyR	CC
FGSG_00069	GO:0000981	F	related to transcription activator amyR	MF
FGSG_00069	GO:0003677	F	related to transcription activator amyR	MF
FGSG_00069	GO:0008270	F	related to transcription activator amyR	MF
FGSG_00069	GO:0006351	P	related to transcription activator amyR	BP
FGSG_00069	GO:0006357	P	related to transcription activator amyR	BP
FGSG_00070	GO:0016021	C	hypothetical protein FGSG_00070	CC
FGSG_00070	GO:0022891	F	hypothetical protein FGSG_00070	MF
FGSG_00070	GO:0055085	P	hypothetical protein FGSG_00070	BP
FGSG_00071	GO:0004497	F	cytochrome P450 monooxygenase	MF
FGSG_00071	GO:0005506	F	cytochrome P450 monooxygenase	MF
FGSG_00071	GO:0016705	F	cytochrome P450 monooxygenase	MF
FGSG_00071	GO:0020037	F	cytochrome P450 monooxygenase	MF
FGSG_00071	GO:0055114	P	cytochrome P450 monooxygenase	BP
FGSG_00074	GO:0010181	F	NADPH dehydrogenase	MF
FGSG_00074	GO:0016491	F	NADPH dehydrogenase	MF
FGSG_00074	GO:0055114	P	NADPH dehydrogenase	BP
FGSG_00075	GO:0009055	F	related to phthalate 4,5-dioxygenase oxygenase reductase subunit	MF
FGSG_00075	GO:0030151	F	related to phthalate 4,5-dioxygenase oxygenase reductase subunit	MF
FGSG_00075	GO:0030170	F	related to phthalate 4,5-dioxygenase oxygenase reductase subunit	MF
FGSG_00075	GO:0051213	F	related to phthalate 4,5-dioxygenase oxygenase reductase subunit	MF
FGSG_00075	GO:0051537	F	related to phthalate 4,5-dioxygenase oxygenase reductase subunit	MF
FGSG_00075	GO:0055114	P	related to phthalate 4,5-dioxygenase oxygenase reductase subunit	BP
FGSG_00076	GO:0016021	C	related to neutral amino acid permease	CC
FGSG_00077	GO:0016787	F	related to lipase (lipP)	MF
FGSG_00077	GO:0008152	P	related to lipase (lipP)	BP
FGSG_00080	GO:0016407	F	arylamine N-acetyltransferase	MF
FGSG_00080	GO:0008152	P	arylamine N-acetyltransferase	BP
FGSG_00081	GO:0005634	C	transcription factor	CC
FGSG_00081	GO:0000981	F	transcription factor	MF
FGSG_00081	GO:0003677	F	transcription factor	MF
FGSG_00081	GO:0008270	F	transcription factor	MF
FGSG_00081	GO:0006351	P	transcription factor	BP
FGSG_00081	GO:0006357	P	transcription factor	BP
FGSG_00082	GO:0016787	F	related to triacylglycerol lipase V precursor	MF
FGSG_00083	GO:0016021	C	related to allantoate permease	CC
FGSG_00083	GO:0055085	P	related to allantoate permease	BP
FGSG_00084	GO:0043190	C	Glutathione-binding gsiB	CC
FGSG_00084	GO:0055085	P	Glutathione-binding gsiB	BP
FGSG_00085	GO:0016021	C	related to transporter	CC
FGSG_00085	GO:0055085	P	related to transporter	BP
FGSG_11669	GO:0016301	F	Serine threonine- kinase pkn1	MF
FGSG_11669	GO:0016310	P	Serine threonine- kinase pkn1	BP
FGSG_11670	GO:0005634	C	Thioredoxin domain-containing	CC
FGSG_11670	GO:0005829	C	Thioredoxin domain-containing	CC
FGSG_00087	GO:0016021	C	hexose transporter	CC
FGSG_00087	GO:0022891	F	hexose transporter	MF
FGSG_00087	GO:0008643	P	hexose transporter	BP
FGSG_00087	GO:0055085	P	hexose transporter	BP
FGSG_11671	GO:0005634	C	glycosyl hydrolase family 3 N terminal domain-containing	CC
FGSG_11671	GO:0000981	F	glycosyl hydrolase family 3 N terminal domain-containing	MF
FGSG_11671	GO:0003677	F	glycosyl hydrolase family 3 N terminal domain-containing	MF
FGSG_11671	GO:0008270	F	glycosyl hydrolase family 3 N terminal domain-containing	MF
FGSG_11671	GO:0008422	F	glycosyl hydrolase family 3 N terminal domain-containing	MF
FGSG_11671	GO:0102483	F	glycosyl hydrolase family 3 N terminal domain-containing	MF
FGSG_11671	GO:0006351	P	glycosyl hydrolase family 3 N terminal domain-containing	BP
FGSG_11671	GO:0006357	P	glycosyl hydrolase family 3 N terminal domain-containing	BP
FGSG_11671	GO:0030245	P	glycosyl hydrolase family 3 N terminal domain-containing	BP
FGSG_11672	GO:0005634	C	hypothetical protein FGSG_11672	CC
FGSG_11672	GO:0000981	F	hypothetical protein FGSG_11672	MF
FGSG_11672	GO:0003677	F	hypothetical protein FGSG_11672	MF
FGSG_11672	GO:0008270	F	hypothetical protein FGSG_11672	MF
FGSG_11672	GO:0008422	F	hypothetical protein FGSG_11672	MF
FGSG_11672	GO:0102483	F	hypothetical protein FGSG_11672	MF
FGSG_11672	GO:0006351	P	hypothetical protein FGSG_11672	BP
FGSG_11672	GO:0006357	P	hypothetical protein FGSG_11672	BP
FGSG_11672	GO:0030245	P	hypothetical protein FGSG_11672	BP
FGSG_00089	GO:0016787	F	dienelactone hydrolase	MF
FGSG_00090	GO:0016021	C	3-hydroxyacyl- dehydrogenase	CC
FGSG_00090	GO:0003857	F	3-hydroxyacyl- dehydrogenase	MF
FGSG_00090	GO:0006631	P	3-hydroxyacyl- dehydrogenase	BP
FGSG_00090	GO:0055114	P	3-hydroxyacyl- dehydrogenase	BP
FGSG_00091	GO:0016740	F	-transferase family III	MF
FGSG_11673	GO:0016884	F	general amidase	MF
FGSG_00092	GO:0016021	C	salicylate hydroxylase	CC
FGSG_00092	GO:0016491	F	salicylate hydroxylase	MF
FGSG_00092	GO:0071949	F	salicylate hydroxylase	MF
FGSG_00092	GO:0055114	P	salicylate hydroxylase	BP
FGSG_00093	GO:0016301	F	serine threonine kinase	MF
FGSG_00095	GO:0016021	C	tetracycline efflux (otrb)	CC
FGSG_00095	GO:0016491	F	tetracycline efflux (otrb)	MF
FGSG_00095	GO:0046872	F	tetracycline efflux (otrb)	MF
FGSG_00095	GO:0055085	P	tetracycline efflux (otrb)	BP
FGSG_00096	GO:0009341	C	beta-galactosidase	CC
FGSG_00096	GO:0004565	F	beta-galactosidase	MF
FGSG_00096	GO:0016747	F	beta-galactosidase	MF
FGSG_00096	GO:0030246	F	beta-galactosidase	MF
FGSG_00096	GO:0005975	P	beta-galactosidase	BP
FGSG_00100	GO:0005506	F	6-hydroxy-d-nicotine oxidase	MF
FGSG_00100	GO:0016614	F	6-hydroxy-d-nicotine oxidase	MF
FGSG_00100	GO:0016705	F	6-hydroxy-d-nicotine oxidase	MF
FGSG_00100	GO:0020037	F	6-hydroxy-d-nicotine oxidase	MF
FGSG_00100	GO:0050660	F	6-hydroxy-d-nicotine oxidase	MF
FGSG_00100	GO:0055114	P	6-hydroxy-d-nicotine oxidase	BP
FGSG_00101	GO:0016021	C	related to integral membrane	CC
FGSG_00102	GO:0005634	C	related to C6 zink-finger PRO1A	CC
FGSG_00102	GO:0000981	F	related to C6 zink-finger PRO1A	MF
FGSG_00102	GO:0008270	F	related to C6 zink-finger PRO1A	MF
FGSG_00102	GO:0006357	P	related to C6 zink-finger PRO1A	BP
FGSG_00103	GO:0016740	F	related to glu asp-tRNA amidotransferase subunit A	MF
FGSG_00103	GO:0016884	F	related to glu asp-tRNA amidotransferase subunit A	MF
FGSG_11676	GO:0016021	C	hypothetical protein FGSG_11676	CC
FGSG_11677	GO:0016021	C	O-acetyltransferase CAS1	CC
FGSG_00107	GO:0016021	C	quinate permease	CC
FGSG_00107	GO:0022891	F	quinate permease	MF
FGSG_00107	GO:0055085	P	quinate permease	BP
FGSG_00108	GO:0016021	C	related to allantoate permease	CC
FGSG_00108	GO:0055085	P	related to allantoate permease	BP
FGSG_00109	GO:0008483	F	branched-chain amino acid aminotransferase	MF
FGSG_00109	GO:0008152	P	branched-chain amino acid aminotransferase	BP
FGSG_00110	GO:0016021	C	hypothetical protein FGSG_00110	CC
FGSG_00110	GO:0046873	F	hypothetical protein FGSG_00110	MF
FGSG_00110	GO:0030001	P	hypothetical protein FGSG_00110	BP
FGSG_00110	GO:0055085	P	hypothetical protein FGSG_00110	BP
FGSG_00111	GO:0016020	C	hypothetical protein FGSG_00111	CC
FGSG_00115	GO:0016021	C	hypothetical protein FGSG_00115	CC
FGSG_00116	GO:0016021	C	amino-acid permease	CC
FGSG_00116	GO:0015171	F	amino-acid permease	MF
FGSG_00116	GO:0003333	P	amino-acid permease	BP
FGSG_00117	GO:0008080	F	hypothetical protein FGSG_00117	MF
FGSG_00118	GO:0016021	C	related to neutral amino acid permease	CC
FGSG_00119	GO:0003824	F	Serine threonine- kinase hal4	MF
FGSG_00119	GO:0005488	F	Serine threonine- kinase hal4	MF
FGSG_00121	GO:0004252	F	intracellular serine protease	MF
FGSG_00121	GO:0006508	P	intracellular serine protease	BP
FGSG_00123	GO:0046872	F	ankyrin repeat	MF
FGSG_00125	GO:0005634	C	hypothetical protein FGSG_00125	CC
FGSG_00125	GO:0000981	F	hypothetical protein FGSG_00125	MF
FGSG_00125	GO:0008270	F	hypothetical protein FGSG_00125	MF
FGSG_00125	GO:0006357	P	hypothetical protein FGSG_00125	BP
FGSG_00126	GO:0016021	C	related to capsule-associated	CC
FGSG_00126	GO:0016740	F	related to capsule-associated	MF
FGSG_00127	GO:0005506	F	cytochrome P450	MF
FGSG_00127	GO:0009055	F	cytochrome P450	MF
FGSG_00127	GO:0016705	F	cytochrome P450	MF
FGSG_00127	GO:0020037	F	cytochrome P450	MF
FGSG_00127	GO:0051537	F	cytochrome P450	MF
FGSG_00127	GO:0055114	P	cytochrome P450	BP
FGSG_00128	GO:0016021	C	hypothetical protein FGSG_00128	CC
FGSG_00132	GO:0004674	F	CMGC SRPK kinase	MF
FGSG_00132	GO:0005524	F	CMGC SRPK kinase	MF
FGSG_00132	GO:0006468	P	CMGC SRPK kinase	BP
FGSG_11680	GO:0016020	C	ankyrin unc44	CC
FGSG_11680	GO:0046873	F	ankyrin unc44	MF
FGSG_11680	GO:0030001	P	ankyrin unc44	BP
FGSG_11680	GO:0055085	P	ankyrin unc44	BP
FGSG_11681	GO:0016021	C	ankyrin unc44	CC
FGSG_11681	GO:0046873	F	ankyrin unc44	MF
FGSG_11681	GO:0030001	P	ankyrin unc44	BP
FGSG_11681	GO:0055085	P	ankyrin unc44	BP
FGSG_00134	GO:0019836	P	hypothetical protein FGSG_00134	BP
FGSG_00135	GO:0016021	C	hypothetical protein FGSG_00135	CC
FGSG_00136	GO:0016021	C	related to neutral amino acid permease	CC
FGSG_00137	GO:0016829	F	dihydrodipicolinate synthase	MF
FGSG_00137	GO:0008152	P	dihydrodipicolinate synthase	BP
FGSG_00138	GO:0016620	F	related to nucleoside-diphosphate-sugar epimerase	MF
FGSG_00138	GO:0051287	F	related to nucleoside-diphosphate-sugar epimerase	MF
FGSG_00138	GO:0055114	P	related to nucleoside-diphosphate-sugar epimerase	BP
FGSG_00139	GO:0016620	F	aldehyde dehydrogenase (NAD+)	MF
FGSG_00139	GO:0055114	P	aldehyde dehydrogenase (NAD+)	BP
FGSG_00141	GO:0003676	F	hypothetical protein FGSG_00141	MF
FGSG_00141	GO:0008408	F	hypothetical protein FGSG_00141	MF
FGSG_00141	GO:0090305	P	hypothetical protein FGSG_00141	BP
FGSG_00142	GO:0005507	F	laccase precursor	MF
FGSG_00142	GO:0016491	F	laccase precursor	MF
FGSG_00142	GO:0055114	P	laccase precursor	BP
FGSG_00143	GO:0004553	F	related to ROT2-glucosidase catalytic subunit	MF
FGSG_00143	GO:0030246	F	related to ROT2-glucosidase catalytic subunit	MF
FGSG_00143	GO:0005975	P	related to ROT2-glucosidase catalytic subunit	BP
FGSG_00144	GO:0005634	C	arg81-transcription factor involved in arginine metabolism	CC
FGSG_00144	GO:0000981	F	arg81-transcription factor involved in arginine metabolism	MF
FGSG_00144	GO:0008270	F	arg81-transcription factor involved in arginine metabolism	MF
FGSG_00144	GO:0010181	F	arg81-transcription factor involved in arginine metabolism	MF
FGSG_00144	GO:0016491	F	arg81-transcription factor involved in arginine metabolism	MF
FGSG_00144	GO:0006357	P	arg81-transcription factor involved in arginine metabolism	BP
FGSG_00144	GO:0055114	P	arg81-transcription factor involved in arginine metabolism	BP
FGSG_00145	GO:0010181	F	probable L-lactate dehydrogenase (cytochrome)	MF
FGSG_00145	GO:0016491	F	probable L-lactate dehydrogenase (cytochrome)	MF
FGSG_00145	GO:0055114	P	probable L-lactate dehydrogenase (cytochrome)	BP
FGSG_11683	GO:0005634	C	hypothetical protein FGSG_11683	CC
FGSG_11683	GO:0016021	C	hypothetical protein FGSG_11683	CC
FGSG_11683	GO:0000981	F	hypothetical protein FGSG_11683	MF
FGSG_11683	GO:0003677	F	hypothetical protein FGSG_11683	MF
FGSG_11683	GO:0008270	F	hypothetical protein FGSG_11683	MF
FGSG_11683	GO:0006351	P	hypothetical protein FGSG_11683	BP
FGSG_11683	GO:0006357	P	hypothetical protein FGSG_11683	BP
FGSG_11684	GO:0016616	F	D-3-phosphoglycerate dehydrogenase	MF
FGSG_11684	GO:0051287	F	D-3-phosphoglycerate dehydrogenase	MF
FGSG_11684	GO:0055114	P	D-3-phosphoglycerate dehydrogenase	BP
FGSG_00147	GO:0005634	C	Pyrimidine pathway regulatory 1	CC
FGSG_00147	GO:0016021	C	Pyrimidine pathway regulatory 1	CC
FGSG_00147	GO:0000981	F	Pyrimidine pathway regulatory 1	MF
FGSG_00147	GO:0003677	F	Pyrimidine pathway regulatory 1	MF
FGSG_00147	GO:0008270	F	Pyrimidine pathway regulatory 1	MF
FGSG_00147	GO:0006351	P	Pyrimidine pathway regulatory 1	BP
FGSG_00147	GO:0006357	P	Pyrimidine pathway regulatory 1	BP
FGSG_00148	GO:0016021	C	related to allantoate permease	CC
FGSG_00148	GO:0055085	P	related to allantoate permease	BP
FGSG_11686	GO:0005634	C	hypothetical protein FGSG_11686	CC
FGSG_11686	GO:0000981	F	hypothetical protein FGSG_11686	MF
FGSG_11686	GO:0008270	F	hypothetical protein FGSG_11686	MF
FGSG_11686	GO:0006357	P	hypothetical protein FGSG_11686	BP
FGSG_00150	GO:0008270	F	related to endo-polygalacturonase 6	MF
FGSG_00150	GO:0016491	F	related to endo-polygalacturonase 6	MF
FGSG_00150	GO:0055114	P	related to endo-polygalacturonase 6	BP
FGSG_00152	GO:0016021	C	related to tetracycline resistance (probable transport )	CC
FGSG_00152	GO:0005215	F	related to tetracycline resistance (probable transport )	MF
FGSG_00152	GO:0055085	P	related to tetracycline resistance (probable transport )	BP
FGSG_00153	GO:0005634	C	Proline utilization trans-activator	CC
FGSG_00153	GO:0000981	F	Proline utilization trans-activator	MF
FGSG_00153	GO:0003677	F	Proline utilization trans-activator	MF
