gene_id,chrom,start,end,strand,biotype,product
FGSG_00032,NC_026474.1,135236,136072,-,protein_coding,uncharacterized protein
FGSG_00033,NC_026474.1,136747,137534,-,protein_coding,uncharacterized protein
FGSG_00034,NC_026474.1,138476,140223,-,protein_coding,uncharacterized protein
FGSG_11653,NC_026474.1,141156,142580,-,protein_coding,uncharacterized protein
FGSG_11654,NC_026474.1,143000,145263,-,protein_coding,uncharacterized protein
FGSG_00036,NC_026474.1,145658,150697,-,protein_coding,uncharacterized protein
FGSG_11655,NC_026474.1,151510,153036,+,protein_coding,uncharacterized protein
FGSG_11656,NC_026474.1,153701,160141,+,protein_coding,uncharacterized protein
FGSG_00038,NC_026474.1,160290,160958,-,protein_coding,uncharacterized protein
FGSG_00039,NC_026474.1,161966,162967,+,protein_coding,uncharacterized protein
FGSG_00040,NC_026474.1,163229,165578,-,protein_coding,uncharacterized protein
FGSG_11657,NC_026474.1,167833,170927,-,protein_coding,uncharacterized protein
FGSG_11658,NC_026474.1,171341,172428,-,protein_coding,uncharacterized protein
FGSG_11659,NC_026474.1,177410,190857,-,protein_coding,uncharacterized protein
FGSG_11660,NC_026474.1,195086,197940,-,protein_coding,uncharacterized protein
FGSG_00043,NC_026474.1,199051,200085,-,protein_coding,uncharacterized protein
FGSG_00044,NC_026474.1,200324,201292,+,protein_coding,uncharacterized protein
FGSG_00045,NC_026474.1,202246,203094,-,protein_coding,uncharacterized protein
FGSG_00046,NC_026474.1,203559,208625,+,protein_coding,uncharacterized protein
FGSG_00047,NC_026474.1,209093,210926,+,protein_coding,uncharacterized protein
FGSG_00048,NC_026474.1,211641,212901,+,protein_coding,uncharacterized protein
FGSG_00049,NC_026474.1,213485,214990,+,protein_coding,uncharacterized protein
FGSG_11661,NC_026474.1,215525,216109,+,protein_coding,uncharacterized protein
FGSG_00050,NC_026474.1,216692,217648,+,protein_coding,uncharacterized protein
FGSG_00051,NC_026474.1,217735,218843,-,protein_coding,uncharacterized protein
FGSG_00052,NC_026474.1,219527,220686,+,protein_coding,uncharacterized protein
FGSG_00053,NC_026474.1,221823,223139,-,protein_coding,aryl-alcohol dehydrogenase
FGSG_00054,NC_026474.1,223982,224911,+,protein_coding,uncharacterized protein
FGSG_00055,NC_026474.1,225087,234492,-,protein_coding,uncharacterized protein
FGSG_00056,NC_026474.1,235303,235863,-,protein_coding,uncharacterized protein
FGSG_11662,NC_026474.1,237629,239692,+,protein_coding,uncharacterized protein
FGSG_11663,NC_026474.1,241253,243410,+,protein_coding,uncharacterized protein
FGSG_11664,NC_026474.1,243890,245491,+,protein_coding,uncharacterized protein
FGSG_11665,NC_026474.1,246525,248505,-,protein_coding,uncharacterized protein
FGSG_11666,NC_026474.1,249017,249835,-,protein_coding,uncharacterized protein
FGSG_11667,NC_026474.1,250195,251152,+,protein_coding,uncharacterized protein
FGSG_00058,NC_026474.1,251276,252837,-,protein_coding,uncharacterized protein
FGSG_00059,NC_026474.1,253787,254397,+,protein_coding,uncharacterized protein
FGSG_00060,NC_026474.1,255431,255887,-,protein_coding,uncharacterized protein
FGSG_00061,NC_026474.1,256652,257029,+,protein_coding,uncharacterized protein
FGSG_00062,NC_026474.1,258302,258869,+,protein_coding,uncharacterized protein
FGSG_00063,NC_026474.1,258933,260618,-,protein_coding,uncharacterized protein
FGSG_00064,NC_026474.1,262794,264011,+,protein_coding,uncharacterized protein
FGSG_11668,NC_026474.1,265150,265721,+,protein_coding,uncharacterized protein
FGSG_00065,NC_026474.1,266071,267171,-,protein_coding,uncharacterized protein
FGSG_00066,NC_026474.1,269663,270812,+,protein_coding,uncharacterized protein
FGSG_00067,NC_026474.1,271490,273108,+,protein_coding,uncharacterized protein
FGSG_00068,NC_026474.1,273609,275883,+,protein_coding,alpha-galactosidase C precursor
FGSG_00069,NC_026474.1,276023,277961,-,protein_coding,uncharacterized protein
FGSG_00070,NC_026474.1,278458,280095,+,protein_coding,uncharacterized protein
FGSG_00071,NC_026474.1,282579,284643,+,protein_coding,uncharacterized protein
FGSG_00072,NC_026474.1,284830,285954,+,protein_coding,uncharacterized protein
FGSG_00073,NC_026474.1,286351,287419,-,protein_coding,uncharacterized protein
FGSG_00074,NC_026474.1,288142,289470,+,protein_coding,uncharacterized protein
FGSG_00075,NC_026474.1,290123,291805,+,protein_coding,uncharacterized protein
FGSG_00076,NC_026474.1,292309,293909,-,protein_coding,uncharacterized protein
FGSG_00077,NC_026474.1,295187,296282,+,protein_coding,uncharacterized protein
FGSG_00078,NC_026474.1,296930,298204,+,protein_coding,uncharacterized protein
FGSG_00079,NC_026474.1,298436,299677,-,protein_coding,uncharacterized protein
FGSG_00080,NC_026474.1,300590,301621,-,protein_coding,uncharacterized protein
FGSG_00081,NC_026474.1,302659,304955,-,protein_coding,uncharacterized protein
FGSG_00082,NC_026474.1,305587,307191,-,protein_coding,uncharacterized protein
FGSG_00083,NC_026474.1,307755,309633,+,protein_coding,uncharacterized protein
FGSG_00084,NC_026474.1,309797,310918,-,protein_coding,uncharacterized protein
FGSG_00085,NC_026474.1,311738,313574,+,protein_coding,uncharacterized protein
FGSG_11669,NC_026474.1,314118,316202,+,protein_coding,uncharacterized protein
FGSG_11670,NC_026474.1,316378,316804,+,protein_coding,uncharacterized protein
FGSG_00087,NC_026474.1,317156,318824,-,protein_coding,uncharacterized protein
FGSG_11671,NC_026474.1,319464,322170,+,protein_coding,uncharacterized protein
FGSG_11672,NC_026474.1,322508,324085,+,protein_coding,uncharacterized protein
FGSG_00089,NC_026474.1,324715,325737,+,protein_coding,uncharacterized protein
FGSG_00090,NC_026474.1,326072,327097,-,protein_coding,uncharacterized protein
FGSG_00091,NC_026474.1,327527,329224,+,protein_coding,uncharacterized protein
FGSG_11673,NC_026474.1,329412,330837,-,protein_coding,uncharacterized protein
FGSG_00092,NC_026474.1,332138,333683,+,protein_coding,uncharacterized protein
FGSG_00093,NC_026474.1,334412,335221,+,protein_coding,uncharacterized protein
FGSG_00094,NC_026474.1,335806,336384,-,protein_coding,uncharacterized protein
FGSG_00095,NC_026474.1,337607,339306,+,protein_coding,uncharacterized protein
FGSG_00096,NC_026474.1,339603,342663,-,protein_coding,uncharacterized protein
FGSG_00097,NC_026474.1,343162,344910,-,protein_coding,uncharacterized protein
FGSG_11674,NC_026474.1,346025,346561,-,protein_coding,uncharacterized protein
FGSG_11675,NC_026474.1,347287,348175,-,protein_coding,uncharacterized protein
FGSG_00099,NC_026474.1,349782,350659,+,protein_coding,uncharacterized protein
FGSG_00100,NC_026474.1,350845,352408,-,protein_coding,uncharacterized protein
FGSG_00101,NC_026474.1,353828,355132,+,protein_coding,uncharacterized protein
FGSG_00102,NC_026474.1,355268,357023,-,protein_coding,uncharacterized protein
FGSG_00103,NC_026474.1,357516,359570,+,protein_coding,uncharacterized protein
FGSG_00104,NC_026474.1,359965,362568,+,protein_coding,uncharacterized protein
FGSG_00105,NC_026474.1,363335,364249,-,protein_coding,uncharacterized protein
FGSG_11676,NC_026474.1,366233,367135,+,protein_coding,uncharacterized protein
FGSG_11677,NC_026474.1,368001,370256,+,protein_coding,uncharacterized protein
FGSG_11678,NC_026474.1,370632,371317,-,protein_coding,uncharacterized protein
FGSG_00107,NC_026474.1,372339,374050,+,protein_coding,quinate permease
FGSG_00108,NC_026474.1,374257,375955,-,protein_coding,uncharacterized protein
FGSG_00109,NC_026474.1,376590,377723,+,protein_coding,uncharacterized protein
FGSG_00110,NC_026474.1,381310,382482,+,protein_coding,uncharacterized protein
FGSG_00111,NC_026474.1,383256,383759,-,protein_coding,uncharacterized protein
FGSG_00112,NC_026474.1,385354,385850,+,protein_coding,uncharacterized protein
FGSG_11679,NC_026474.1,386069,386442,+,protein_coding,uncharacterized protein
FGSG_00114,NC_026474.1,388495,388898,+,protein_coding,uncharacterized protein
FGSG_00115,NC_026474.1,389177,390495,-,protein_coding,uncharacterized protein
FGSG_00116,NC_026474.1,391529,393306,+,protein_coding,uncharacterized protein
FGSG_00117,NC_026474.1,393897,394659,+,protein_coding,uncharacterized protein
FGSG_00118,NC_026474.1,395220,396738,-,protein_coding,uncharacterized protein
FGSG_00119,NC_026474.1,399162,400457,-,protein_coding,uncharacterized protein
FGSG_00120,NC_026474.1,400819,402015,+,protein_coding,uncharacterized protein
FGSG_00121,NC_026474.1,402778,404642,-,protein_coding,uncharacterized protein
FGSG_00122,NC_026474.1,406966,407905,+,protein_coding,uncharacterized protein
FGSG_00123,NC_026474.1,408803,409592,+,protein_coding,uncharacterized protein
FGSG_00124,NC_026474.1,415140,416099,+,protein_coding,uncharacterized protein
FGSG_00125,NC_026474.1,416595,417694,-,protein_coding,uncharacterized protein
FGSG_00126,NC_026474.1,418705,421270,+,protein_coding,uncharacterized protein
FGSG_00127,NC_026474.1,421350,423882,-,protein_coding,uncharacterized protein
FGSG_00128,NC_026474.1,424444,425395,-,protein_coding,uncharacterized protein
FGSG_00129,NC_026474.1,426008,426625,-,protein_coding,uncharacterized protein
FGSG_00130,NC_026474.1,427185,429169,-,protein_coding,uncharacterized protein
FGSG_00131,NC_026474.1,429856,430497,+,protein_coding,uncharacterized protein
FGSG_00132,NC_026474.1,430969,431924,+,protein_coding,uncharacterized protein
FGSG_11680,NC_026474.1,432893,435165,+,protein_coding,uncharacterized protein
FGSG_11681,NC_026474.1,435418,436392,+,protein_coding,uncharacterized protein
FGSG_00134,NC_026474.1,437775,438188,+,protein_coding,uncharacterized protein
FGSG_00135,NC_026474.1,439360,439884,-,protein_coding,uncharacterized protein
FGSG_00136,NC_026474.1,442141,443931,-,protein_coding,uncharacterized protein
FGSG_00137,NC_026474.1,447129,448022,-,protein_coding,uncharacterized protein
FGSG_00138,NC_026474.1,448489,449707,+,protein_coding,uncharacterized protein
FGSG_00139,NC_026474.1,450147,451706,+,protein_coding,aldehyde dehydrogenase
FGSG_00140,NC_026474.1,451965,455517,-,protein_coding,uncharacterized protein
FGSG_11682,NC_026474.1,461256,461579,+,protein_coding,uncharacterized protein
FGSG_00141,NC_026474.1,462504,463364,-,protein_coding,uncharacterized protein
FGSG_00142,NC_026474.1,463780,466098,-,protein_coding,uncharacterized protein
FGSG_00143,NC_026474.1,467267,471351,+,protein_coding,uncharacterized protein
FGSG_00144,NC_026474.1,471756,474147,-,protein_coding,uncharacterized protein
FGSG_00145,NC_026474.1,477428,478796,-,protein_coding,uncharacterized protein
FGSG_11683,NC_026474.1,479157,481364,+,protein_coding,uncharacterized protein
FGSG_11684,NC_026474.1,481717,482682,+,protein_coding,uncharacterized protein
FGSG_00147,NC_026474.1,482789,485208,-,protein_coding,uncharacterized protein
FGSG_00148,NC_026474.1,485697,487392,+,protein_coding,uncharacterized protein
FGSG_11685,NC_026474.1,487872,488638,+,protein_coding,uncharacterized protein
FGSG_11686,NC_026474.1,488784,491032,+,protein_coding,uncharacterized protein
FGSG_00150,NC_026474.1,491197,492371,-,protein_coding,uncharacterized protein
FGSG_11687,NC_026474.1,493270,493747,+,protein_coding,uncharacterized protein
FGSG_00151,NC_026474.1,494186,495028,+,protein_coding,uncharacterized protein
FGSG_00152,NC_026474.1,495932,497734,-,protein_coding,uncharacterized protein
FGSG_00153,NC_026474.1,498651,501280,-,protein_coding,uncharacterized protein
FGSG_00154,NC_026474.1,501984,502331,-,protein_coding,uncharacterized protein
FGSG_11688,NC_026474.1,502932,503841,+,protein_coding,uncharacterized protein
FGSG_11689,NC_026474.1,504509,505297,+,protein_coding,uncharacterized protein
FGSG_00156,NC_026474.1,506462,507018,+,protein_coding,uncharacterized protein
FGSG_00157,NC_026474.1,508635,508937,-,protein_coding,uncharacterized protein
FGSG_00158,NC_026474.1,509785,510231,-,protein_coding,uncharacterized protein
FGSG_11690,NC_026474.1,512086,516367,+,protein_coding,uncharacterized protein
FGSG_11691,NC_026474.1,516898,517233,+,protein_coding,uncharacterized protein
FGSG_00160,NC_026474.1,519739,520283,-,protein_coding,uncharacterized protein
FGSG_00161,NC_026474.1,520670,522476,-,protein_coding,uncharacterized protein
FGSG_00162,NC_026474.1,523296,524779,+,protein_coding,uncharacterized protein
FGSG_00163,NC_026474.1,526618,528116,-,protein_coding,uncharacterized protein
FGSG_11692,NC_026474.1,528585,529088,+,protein_coding,uncharacterized protein
FGSG_11693,NC_026474.1,530435,530906,+,protein_coding,uncharacterized protein
FGSG_00164,NC_026474.1,531344,531697,+,protein_coding,uncharacterized protein
FGSG_00165,NC_026474.1,532471,533589,+,protein_coding,uncharacterized protein
FGSG_00166,NC_026474.1,533650,536478,-,protein_coding,uncharacterized protein
FGSG_11694,NC_026474.1,536905,537657,-,protein_coding,uncharacterized protein
FGSG_11695,NC_026474.1,539202,539774,-,protein_coding,uncharacterized protein
FGSG_00168,NC_026474.1,542657,543266,+,protein_coding,40S ribosomal protein MRP2
FGSG_00169,NC_026474.1,543864,545131,+,protein_coding,pre-mRNA splicing factor CWC25
FGSG_00170,NC_026474.1,546096,547273,+,protein_coding,Rho3 protein
FGSG_00171,NC_026474.1,547963,548758,+,protein_coding,uncharacterized protein
FGSG_11696,NC_026474.1,548759,554957,-,protein_coding,uncharacterized protein
FGSG_00172,NC_026474.1,556354,557347,+,protein_coding,uncharacterized protein
FGSG_00173,NC_026474.1,558543,559758,+,protein_coding,uncharacterized protein
FGSG_00174,NC_026474.1,560638,561216,+,protein_coding,uncharacterized protein
FGSG_00175,NC_026474.1,561329,562677,-,protein_coding,2-methylcitrate synthase
FGSG_00176,NC_026474.1,563987,565912,+,protein_coding,isocitrate lyase
FGSG_00177,NC_026474.1,565963,567143,-,protein_coding,uncharacterized protein
FGSG_11697,NC_026474.1,568604,570281,+,protein_coding,uncharacterized protein
FGSG_11698,NC_026474.1,570654,571480,+,protein_coding,ADP-ribose pyrophosphatase
FGSG_20500,NC_026474.1,571898,572014,+,tRNA,tRNA-Gly
FGSG_20501,NC_026474.1,572085,572188,+,tRNA,tRNA-Ser
FGSG_11699,NC_026474.1,572718,573699,+,protein_coding,uncharacterized protein
FGSG_00179,NC_026474.1,573899,575060,-,protein_coding,uncharacterized protein
FGSG_00180,NC_026474.1,577685,578776,-,protein_coding,uncharacterized protein
FGSG_11700,NC_026474.1,579615,580444,-,protein_coding,uncharacterized protein
FGSG_00181,NC_026474.1,581429,581856,+,protein_coding,uncharacterized protein
FGSG_00182,NC_026474.1,585419,586988,-,protein_coding,COP9 signalosome complex subunit 2
FGSG_00183,NC_026474.1,587305,588957,-,protein_coding,uncharacterized protein
FGSG_00184,NC_026474.1,590571,591515,+,protein_coding,uncharacterized protein
FGSG_00185,NC_026474.1,591599,592946,-,protein_coding,uncharacterized protein
FGSG_00186,NC_026474.1,593308,594927,+,protein_coding,uncharacterized protein
FGSG_11701,NC_026474.1,595260,595931,-,protein_coding,uncharacterized protein
FGSG_11702,NC_026474.1,596902,597701,-,protein_coding,uncharacterized protein
FGSG_00188,NC_026474.1,600464,601506,-,protein_coding,pre-mRNA-splicing factor isy-1
FGSG_00189,NC_026474.1,603091,604622,-,protein_coding,uncharacterized protein
FGSG_00190,NC_026474.1,604947,605666,+,protein_coding,uncharacterized protein
FGSG_11703,NC_026474.1,605800,614474,-,protein_coding,uncharacterized protein
FGSG_11704,NC_026474.1,614828,615154,-,protein_coding,uncharacterized protein
FGSG_00192,NC_026474.1,618487,620523,+,protein_coding,cerevisin precursor
FGSG_00193,NC_026474.1,620971,623397,+,protein_coding,uncharacterized protein
FGSG_00194,NC_026474.1,623878,625473,-,protein_coding,uncharacterized protein
FGSG_00195,NC_026474.1,626316,627753,+,protein_coding,uncharacterized protein
FGSG_00196,NC_026474.1,629006,631128,-,protein_coding,uncharacterized protein
FGSG_00197,NC_026474.1,632152,633587,+,protein_coding,uncharacterized protein
FGSG_00198,NC_026474.1,633614,635374,-,protein_coding,uncharacterized protein
FGSG_00199,NC_026474.1,636024,636650,+,protein_coding,uncharacterized protein
FGSG_00200,NC_026474.1,636761,638696,-,protein_coding,uncharacterized protein
FGSG_00201,NC_026474.1,640400,641805,+,protein_coding,uncharacterized protein
FGSG_11705,NC_026474.1,643684,646495,-,protein_coding,uncharacterized protein
FGSG_11706,NC_026474.1,646974,647195,-,protein_coding,uncharacterized protein
FGSG_11707,NC_026474.1,647702,648475,+,protein_coding,uncharacterized protein
FGSG_00203,NC_026474.1,648922,650928,+,protein_coding,uncharacterized protein
FGSG_11708,NC_026474.1,651623,654480,-,protein_coding,uncharacterized protein
FGSG_11709,NC_026474.1,654709,656845,-,protein_coding,uncharacterized protein
FGSG_00205,NC_026474.1,657576,662398,+,protein_coding,uncharacterized protein
FGSG_00206,NC_026474.1,663978,664370,+,protein_coding,uncharacterized protein
FGSG_11710,NC_026474.1,664711,665602,+,protein_coding,uncharacterized protein
FGSG_00207,NC_026474.1,665850,666373,-,protein_coding,uncharacterized protein
FGSG_00208,NC_026474.1,667026,669497,-,protein_coding,uncharacterized protein
FGSG_11711,NC_026474.1,671304,671696,+,protein_coding,uncharacterized protein
FGSG_11712,NC_026474.1,672166,673613,+,protein_coding,uncharacterized protein
FGSG_00209,NC_026474.1,674519,676103,+,protein_coding,uncharacterized protein
FGSG_00210,NC_026474.1,676458,676906,-,protein_coding,uncharacterized protein
FGSG_00211,NC_026474.1,677786,678693,-,protein_coding,uncharacterized protein
FGSG_00212,NC_026474.1,679463,680518,+,protein_coding,uncharacterized protein
FGSG_00213,NC_026474.1,681049,681975,+,protein_coding,uncharacterized protein
FGSG_00214,NC_026474.1,682190,683106,-,protein_coding,uncharacterized protein
FGSG_00215,NC_026474.1,683947,684159,+,protein_coding,uncharacterized protein
FGSG_00216,NC_026474.1,685049,685736,+,protein_coding,uncharacterized protein
FGSG_00217,NC_026474.1,686426,688629,+,protein_coding,uncharacterized protein
FGSG_00218,NC_026474.1,688733,690119,-,protein_coding,uncharacterized protein
FGSG_00219,NC_026474.1,690751,692735,+,protein_coding,uncharacterized protein
FGSG_00220,NC_026474.1,693544,695746,+,protein_coding,uncharacterized protein
FGSG_00221,NC_026474.1,697333,697689,+,protein_coding,uncharacterized protein
FGSG_00222,NC_026474.1,697978,699411,-,protein_coding,uncharacterized protein
FGSG_11713,NC_026474.1,699944,700414,-,protein_coding,uncharacterized protein
FGSG_11714,NC_026474.1,700658,701637,-,protein_coding,uncharacterized protein
FGSG_00224,NC_026474.1,701995,704264,-,protein_coding,uncharacterized protein
FGSG_00225,NC_026474.1,705214,705592,-,protein_coding,uncharacterized protein
FGSG_00226,NC_026474.1,706206,707855,+,protein_coding,uncharacterized protein
FGSG_00227,NC_026474.1,707991,710507,-,protein_coding,uncharacterized protein
FGSG_11715,NC_026474.1,710924,711967,-,protein_coding,uncharacterized protein
FGSG_11716,NC_026474.1,712183,714757,-,protein_coding,uncharacterized protein
FGSG_00229,NC_026474.1,715952,717694,+,protein_coding,uncharacterized protein
FGSG_00230,NC_026474.1,718160,718543,-,protein_coding,uncharacterized protein
FGSG_11717,NC_026474.1,719988,720353,+,protein_coding,uncharacterized protein
FGSG_11718,NC_026474.1,720581,721053,+,protein_coding,uncharacterized protein
FGSG_00231,NC_026474.1,722451,723615,+,protein_coding,uncharacterized protein
FGSG_00232,NC_026474.1,723710,724647,-,protein_coding,uncharacterized protein
FGSG_11719,NC_026474.1,725182,725859,+,protein_coding,uncharacterized protein
FGSG_00233,NC_026474.1,726873,727342,-,protein_coding,uncharacterized protein
FGSG_00234,NC_026474.1,728202,729312,-,protein_coding,uncharacterized protein
FGSG_00235,NC_026474.1,729757,730944,+,protein_coding,uncharacterized protein
FGSG_00236,NC_026474.1,731602,732791,+,protein_coding,uncharacterized protein
FGSG_00237,NC_026474.1,733233,734836,+,protein_coding,uncharacterized protein
FGSG_11720,NC_026474.1,734949,736704,-,protein_coding,uncharacterized protein
FGSG_11721,NC_026474.1,737065,737970,-,protein_coding,uncharacterized protein
FGSG_11722,NC_026474.1,738316,739345,-,protein_coding,uncharacterized protein
FGSG_11723,NC_026474.1,739590,739928,+,protein_coding,uncharacterized protein
FGSG_00239,NC_026474.1,743891,744214,+,protein_coding,uncharacterized protein
FGSG_11724,NC_026474.1,744836,745812,+,protein_coding,uncharacterized protein
FGSG_00240,NC_026474.1,747857,748228,+,protein_coding,uncharacterized protein
FGSG_11725,NC_026474.1,750760,751329,+,protein_coding,uncharacterized protein
FGSG_11726,NC_026474.1,751908,752633,+,protein_coding,uncharacterized protein
FGSG_11727,NC_026474.1,753183,753825,-,protein_coding,uncharacterized protein
FGSG_00242,NC_026474.1,754190,755494,+,protein_coding,uncharacterized protein
FGSG_11728,NC_026474.1,756801,757418,+,protein_coding,uncharacterized protein
FGSG_00243,NC_026474.1,760849,763069,+,protein_coding,uncharacterized protein
FGSG_11729,NC_026474.1,764537,765542,+,protein_coding,uncharacterized protein
FGSG_20502,NC_026474.1,765621,765703,+,tRNA,tRNA-Lys
FGSG_11730,NC_026474.1,766552,767058,+,protein_coding,uncharacterized protein
FGSG_11731,NC_026474.1,767250,767801,-,protein_coding,uncharacterized protein
FGSG_00245,NC_026474.1,768054,768719,-,protein_coding,uncharacterized protein
FGSG_00246,NC_026474.1,770215,771102,+,protein_coding,uncharacterized protein
FGSG_00247,NC_026474.1,771165,773157,-,protein_coding,uncharacterized protein
FGSG_11732,NC_026474.1,777435,777849,-,protein_coding,uncharacterized protein
FGSG_00248,NC_026474.1,778345,782359,+,protein_coding,uncharacterized protein
FGSG_00249,NC_026474.1,783527,784480,+,protein_coding,uncharacterized protein
FGSG_11733,NC_026474.1,786113,787845,+,protein_coding,uncharacterized protein
FGSG_11734,NC_026474.1,788334,789077,+,protein_coding,uncharacterized protein
FGSG_00251,NC_026474.1,791414,794257,+,protein_coding,galactose oxidase precursor
FGSG_00252,NC_026474.1,795505,796636,-,protein_coding,uncharacterized protein
FGSG_00253,NC_026474.1,797640,798671,+,protein_coding,uncharacterized protein
FGSG_00254,NC_026474.1,799624,800061,+,protein_coding,uncharacterized protein
FGSG_11735,NC_026474.1,800234,800655,-,protein_coding,uncharacterized protein
FGSG_00255,NC_026474.1,801234,802324,+,protein_coding,uncharacterized protein
FGSG_00256,NC_026474.1,803050,803841,-,protein_coding,uncharacterized protein
FGSG_00257,NC_026474.1,804398,805603,-,protein_coding,uncharacterized protein
FGSG_00258,NC_026474.1,806284,807310,-,protein_coding,uncharacterized protein
FGSG_00259,NC_026474.1,808354,810220,+,protein_coding,uncharacterized protein
FGSG_00260,NC_026474.1,810407,811074,-,protein_coding,uncharacterized protein
FGSG_00261,NC_026474.1,812420,815520,-,protein_coding,uncharacterized protein
FGSG_00262,NC_026474.1,816327,817406,+,protein_coding,uncharacterized protein
FGSG_00263,NC_026474.1,817488,820290,-,protein_coding,uncharacterized protein
FGSG_00264,NC_026474.1,820722,821593,-,protein_coding,uncharacterized protein
FGSG_00265,NC_026474.1,823407,824813,-,protein_coding,uncharacterized protein
FGSG_00266,NC_026474.1,828040,830019,+,protein_coding,uncharacterized protein
FGSG_00267,NC_026474.1,830666,832078,-,protein_coding,uncharacterized protein
FGSG_00268,NC_026474.1,833092,834359,+,protein_coding,uncharacterized protein
FGSG_11736,NC_026474.1,834619,835539,-,protein_coding,uncharacterized protein
FGSG_00269,NC_026474.1,836061,838150,-,protein_coding,uncharacterized protein
FGSG_00270,NC_026474.1,838527,841188,+,protein_coding,uncharacterized protein
FGSG_11737,NC_026474.1,842105,842287,+,protein_coding,uncharacterized protein
FGSG_11738,NC_026474.1,844215,844559,+,protein_coding,uncharacterized protein
