XM_011317260.1	FGSG_11579
XM_011317438.1	FGSG_00137
XM_011317439.1	FGSG_00138
XM_011317440.1	FGSG_00139
XM_011317441.1	FGSG_00140
XM_011317442.1	FGSG_11682
XM_011317443.1	FGSG_00141
XM_011317444.1	FGSG_00142
XM_011317445.1	FGSG_00143
XM_011317446.1	FGSG_00144
XM_011317447.1	FGSG_00145
XM_011317448.1	FGSG_11683
XM_011317449.1	FGSG_11684
XM_011317450.1	FGSG_00147
XM_011317451.1	FGSG_00148
XM_011317452.1	FGSG_11685
XM_011317453.1	FGSG_11686
XM_011317454.1	FGSG_00150
XM_011317455.1	FGSG_11687
XM_011317456.1	FGSG_00151
XM_011317457.1	FGSG_00152
XM_011317458.1	FGSG_00153
XM_011317459.1	FGSG_00154
XM_011317460.1	FGSG_11688
XM_011317461.1	FGSG_11689
XM_011317462.1	FGSG_00156
XM_011317463.1	FGSG_00157
XM_011317464.1	FGSG_00158
XM_011317465.1	FGSG_11690
XM_011317466.1	FGSG_11691
XM_011317467.1	FGSG_00160
XM_011317468.1	FGSG_00161
XM_011317469.1	FGSG_00162
XM_011317470.1	FGSG_00163
XM_011317471.1	FGSG_11692
XM_011317472.1	FGSG_11693
XM_011317473.1	FGSG_00164
XM_011317474.1	FGSG_00165
XM_011317475.1	FGSG_00166
XM_011317476.1	FGSG_11694
XM_011317477.1	FGSG_11695
XM_011317478.1	FGSG_00168
XM_011317479.1	FGSG_00169
XM_011317480.1	FGSG_00170
XM_011317481.1	FGSG_00171
XM_011317482.1	FGSG_11696
XM_011317483.1	FGSG_00172
XM_011317484.1	FGSG_00173
XM_011317485.1	FGSG_00174
XM_011317486.1	FGSG_00175
XM_011317487.1	FGSG_00176
XM_011317488.1	FGSG_00177
XM_011317489.1	FGSG_11697
XM_011317490.1	FGSG_11698
unassigned_transcript_1	FGSG_20500
unassigned_transcript_2	FGSG_20501
XM_011317491.1	FGSG_11699
XM_011317492.1	FGSG_00179
XM_011317493.1	FGSG_00180
XM_011317494.1	FGSG_11700
XM_011317495.1	FGSG_00181
XM_011317496.1	FGSG_00182
XM_011317497.1	FGSG_00183
XM_011317498.1	FGSG_00184
XM_011317499.1	FGSG_00185
XM_011317500.1	FGSG_00186
XM_011317501.1	FGSG_11701
XM_011317502.1	FGSG_11702
XM_011317503.1	FGSG_00188
XM_011317504.1	FGSG_00189
XM_011317505.1	FGSG_00190
XM_011317506.1	FGSG_11703
XM_011317507.1	FGSG_11704
XM_011317508.1	FGSG_00192
XM_011317509.1	FGSG_00193
XM_011317510.1	FGSG_00194
XM_011317511.1	FGSG_00195
XM_011317512.1	FGSG_00196
XM_011317513.1	FGSG_00197
XM_011317514.1	FGSG_00198
XM_011317515.1	FGSG_00199
XM_011317516.1	FGSG_00200
XM_011317517.1	FGSG_00201
XM_011317518.1	FGSG_11705
XM_011317519.1	FGSG_11706
XM_011317520.1	FGSG_11707
XM_011317521.1	FGSG_00203
XM_011317522.1	FGSG_11708
XM_011317523.1	FGSG_11709
XM_011317524.1	FGSG_00205
XM_011317525.1	FGSG_00206
XM_011317526.1	FGSG_11710
XM_011317527.1	FGSG_00207
XM_011317528.1	FGSG_00208
XM_011317529.1	FGSG_11711
XM_011317530.1	FGSG_11712
XM_011317531.1	FGSG_00209
XM_011317532.1	FGSG_00210
XM_011317533.1	FGSG_00211
XM_011317534.1	FGSG_00212
XM_011317535.1	FGSG_00213
XM_011317536.1	FGSG_00214
XM_011317537.1	FGSG_00215
XM_011317538.1	FGSG_00216
XM_011317539.1	FGSG_00217
XM_011317540.1	FGSG_00218
XM_011317541.1	FGSG_00219
XM_011317542.1	FGSG_00220
XM_011317543.1	FGSG_00221
XM_011317544.1	FGSG_00222
XM_011317545.1	FGSG_11713
XM_011317546.1	FGSG_11714
XM_011317547.1	FGSG_00224
XM_011317548.1	FGSG_00225
XM_011317549.1	FGSG_00226
XM_011317550.1	FGSG_00227
XM_011317551.1	FGSG_11715
XM_011317552.1	FGSG_11716
XM_011317553.1	FGSG_00229
XM_011317554.1	FGSG_00230
XM_011317555.1	FGSG_11717
XM_011317556.1	FGSG_11718
XM_011317557.1	FGSG_00231
XM_011317558.1	FGSG_00232
XM_011317559.1	FGSG_11719
XM_011317560.1	FGSG_00233
XM_011317561.1	FGSG_00234
XM_011317562.1	FGSG_00235
XM_011317563.1	FGSG_00236
XM_011317564.1	FGSG_00237
XM_011317565.1	FGSG_11720
XM_011317566.1	FGSG_11721
XM_011317567.1	FGSG_11722
XM_011317568.1	FGSG_11723
XM_011317569.1	FGSG_00239
XM_011317570.1	FGSG_11724
XM_011317571.1	FGSG_00240
XM_011317572.1	FGSG_11725
XM_011317573.1	FGSG_11726
XM_011317574.1	FGSG_11727
XM_011317575.1	FGSG_00242
XM_011317576.1	FGSG_11728
XM_011317577.1	FGSG_00243
XM_011317578.1	FGSG_11729
unassigned_transcript_3	FGSG_20502
XM_011317579.1	FGSG_11730
XM_011317580.1	FGSG_11731
XM_011317581.1	FGSG_00245
XM_011317582.1	FGSG_00246
XM_011317583.1	FGSG_00247
XM_011317584.1	FGSG_11732
XM_011317585.1	FGSG_00248
XM_011317586.1	FGSG_00249
XM_011317587.1	FGSG_11733
XM_011317588.1	FGSG_11734
XM_011317589.1	FGSG_00251
XM_011317590.1	FGSG_00252
XM_011317591.1	FGSG_00253
XM_011317592.1	FGSG_00254
XM_011317593.1	FGSG_11735
XM_011317594.1	FGSG_00255
XM_011317595.1	FGSG_00256
XM_011317596.1	FGSG_00257
XM_011317597.1	FGSG_00258
XM_011317598.1	FGSG_00259
XM_011317599.1	FGSG_00260
XM_011317600.1	FGSG_00261
XM_011317601.1	FGSG_00262
XM_011317602.1	FGSG_00263
XM_011317603.1	FGSG_00264
XM_011317604.1	FGSG_00265
XM_011317605.1	FGSG_00266
XM_011317606.1	FGSG_00267
XM_011317607.1	FGSG_00268
XM_011317608.1	FGSG_11736
XM_011317609.1	FGSG_00269
XM_011317610.1	FGSG_00270
XM_011317611.1	FGSG_11737
XM_011317612.1	FGSG_11738
XM_011317613.1	FGSG_00271
XM_011317614.1	FGSG_00272
XM_011317615.1	FGSG_00273
XM_011317616.1	FGSG_11739
XM_011317617.1	FGSG_00274
XM_011317618.1	FGSG_00275
XM_011317619.1	FGSG_00276
XM_011317620.1	FGSG_00277
XM_011317621.1	FGSG_00278
XM_011317622.1	FGSG_00279
XM_011317623.1	FGSG_11740
unassigned_transcript_4	FGSG_20503
XM_011317624.1	FGSG_00280
XM_011317625.1	FGSG_00281
XM_011317626.1	FGSG_00282
XM_011317627.1	FGSG_00283
XM_011317628.1	FGSG_00284
unassigned_transcript_5	FGSG_20504
XM_011317629.1	FGSG_00285
XM_011317630.1	FGSG_11741
XM_011317631.1	FGSG_00286
XM_011317632.1	FGSG_00287
XM_011317633.1	FGSG_00288
XM_011317634.1	FGSG_00289
XM_011317635.1	FGSG_11742
XM_011317636.1	FGSG_11743
XM_011317637.1	FGSG_00291
XM_011317638.1	FGSG_00292
XM_011317639.1	FGSG_00293
XM_011317640.1	FGSG_00294
XM_011317641.1	FGSG_00295
XM_011317642.1	FGSG_00296
XM_011317643.1	FGSG_00297
XM_011317644.1	FGSG_00298
XM_011317645.1	FGSG_00299
XM_011317646.1	FGSG_00300
XM_011317647.1	FGSG_00301
XM_011317648.1	FGSG_00302
XM_011317649.1	FGSG_00303
XM_011317650.1	FGSG_00304
XM_011317651.1	FGSG_00305
XM_011317652.1	FGSG_00306
XM_011317653.1	FGSG_00307
XM_011317654.1	FGSG_00308
XM_011317655.1	FGSG_00309
XM_011317656.1	FGSG_00310
XM_011317657.1	FGSG_00311
XM_011317658.1	FGSG_00312
XM_011317659.1	FGSG_00313
XM_011317660.1	FGSG_11744
XM_011317661.1	FGSG_00314
XM_011317662.1	FGSG_00315
XM_011317663.1	FGSG_00316
XM_011317664.1	FGSG_00317
XM_011317665.1	FGSG_00318
XM_011317666.1	FGSG_00319
XM_011317667.1	FGSG_00320
XM_011317668.1	FGSG_00321
XM_011317669.1	FGSG_00322
XM_011317670.1	FGSG_00323
XM_011317671.1	FGSG_00324
XM_011317672.1	FGSG_00325
XM_011317673.1	FGSG_00326
XM_011317674.1	FGSG_00327
XM_011317675.1	FGSG_00328
XM_011317676.1	FGSG_00329
XM_011317677.1	FGSG_00330
XM_011317678.1	FGSG_11745
XM_011317679.1	FGSG_00331
XM_011317680.1	FGSG_00332
XM_011317681.1	FGSG_00333
XM_011317682.1	FGSG_00334
XM_011317683.1	FGSG_00335
XM_011317684.1	FGSG_00336
XM_011317685.1	FGSG_00337
XM_011317686.1	FGSG_00338
XM_011317687.1	FGSG_11746
XM_011317688.1	FGSG_11747
XM_011317689.1	FGSG_00339
XM_011317690.1	FGSG_00340
XM_011317691.1	FGSG_11748
XM_011317692.1	FGSG_11749
XM_011317693.1	FGSG_11750
XM_011317694.1	FGSG_11751
XM_011317695.1	FGSG_11752
XM_011317696.1	FGSG_00342
XM_011317697.1	FGSG_00343
XM_011317698.1	FGSG_00344
XM_011317699.1	FGSG_00345
XM_011317700.1	FGSG_11753
XM_011317701.1	FGSG_00346
XM_011317702.1	FGSG_00347
XM_011317703.1	FGSG_00348
XM_011317704.1	FGSG_00349
XM_011317705.1	FGSG_00350
XM_011317706.1	FGSG_00351
XM_011317707.1	FGSG_00352
XM_011317708.1	FGSG_00353
XM_011317709.1	FGSG_00354
XM_011317710.1	FGSG_00355
XM_011317711.1	FGSG_11754
XM_011317712.1	FGSG_11755
XM_011317713.1	FGSG_00357
XM_011317714.1	FGSG_00358
XM_011317715.1	FGSG_00359
XM_011317716.1	FGSG_00360
XM_011317717.1	FGSG_00361
XM_011317718.1	FGSG_11756
XM_011317719.1	FGSG_00362
XM_011317720.1	FGSG_00363
XM_011317721.1	FGSG_00364
XM_011317722.1	FGSG_00365
XM_011317723.1	FGSG_11757
XM_011317724.1	FGSG_00366
XM_011317725.1	FGSG_00367
XM_011317726.1	FGSG_00368
XM_011317727.1	FGSG_11758
XM_011317728.1	FGSG_11759
XM_011317729.1	FGSG_00369
XM_011317730.1	FGSG_00370
XM_011317731.1	FGSG_00371
unassigned_transcript_6	FGSG_20505
XM_011317732.1	FGSG_00372
XM_011317733.1	FGSG_00373
XM_011317734.1	FGSG_00374
XM_011317735.1	FGSG_00375
XM_011317736.1	FGSG_00376
XM_011317737.1	FGSG_00377
XM_011317738.1	FGSG_00378
XM_011317739.1	FGSG_00379
XM_011317740.1	FGSG_00380
XM_011317741.1	FGSG_00381
XM_011317742.1	FGSG_00382
XM_011317743.1	FGSG_00383
XM_011317744.1	FGSG_00384
XM_011317745.1	FGSG_00385
XM_011317746.1	FGSG_00386
XM_011317747.1	FGSG_00387
XM_011317748.1	FGSG_00388
XM_011317749.1	FGSG_00389
XM_011317750.1	FGSG_00390
XM_011317751.1	FGSG_00391
XM_011317752.1	FGSG_00392
XM_011317753.1	FGSG_00393
XM_011317754.1	FGSG_00394
XM_011317755.1	FGSG_00395
XM_011317756.1	FGSG_00396
XM_011317757.1	FGSG_00397
XM_011317758.1	FGSG_00398
XM_011317759.1	FGSG_00399
XM_011317760.1	FGSG_11760
XM_011317761.1	FGSG_00401
XM_011317762.1	FGSG_00402
XM_011317763.1	FGSG_00403
XM_011317764.1	FGSG_00404
XM_011317765.1	FGSG_11761
XM_011317766.1	FGSG_00405
XM_011317767.1	FGSG_00406
XM_011317768.1	FGSG_00407
XM_011317769.1	FGSG_11762
XM_011317770.1	FGSG_11763
XM_011317771.1	FGSG_11764
XM_011317772.1	FGSG_00408
XM_011317773.1	FGSG_00409
XM_011317774.1	FGSG_00410
XM_011317775.1	FGSG_00411
XM_011317776.1	FGSG_00412
XM_011317777.1	FGSG_00413
XM_011317778.1	FGSG_00414
XM_011317779.1	FGSG_00415
XM_011317780.1	FGSG_00416
XM_011317781.1	FGSG_00417
XM_011317782.1	FGSG_00418
XM_011317783.1	FGSG_00419
XM_011317784.1	FGSG_00420
XM_011317785.1	FGSG_00421
XM_011317786.1	FGSG_00422
XM_011317787.1	FGSG_00423
XM_011317788.1	FGSG_11765
XM_011317789.1	FGSG_00424
XM_011317790.1	FGSG_00425
XM_011317791.1	FGSG_00426
XM_011317792.1	FGSG_00427
XM_011317793.1	FGSG_00428
XM_011317794.1	FGSG_00429
XM_011317795.1	FGSG_00430
XM_011317796.1	FGSG_00431
XM_011317797.1	FGSG_00432
XM_011317798.1	FGSG_00433
XM_011317799.1	FGSG_00434
XM_011317800.1	FGSG_11766
XM_011317801.1	FGSG_00435
XM_011317802.1	FGSG_00436
XM_011317803.1	FGSG_00437
XM_011317804.1	FGSG_11767
XM_011317805.1	FGSG_00438
XM_011317806.1	FGSG_00439
XM_011317807.1	FGSG_00440
XM_011317808.1	FGSG_00441
XM_011317809.1	FGSG_00442
XM_011317810.1	FGSG_00443
XM_011317811.1	FGSG_00444
XM_011317812.1	FGSG_00445
XM_011317813.1	FGSG_00446
XM_011317814.1	FGSG_00447
XM_011317815.1	FGSG_00448
XM_011317816.1	FGSG_00449
XM_011317817.1	FGSG_00450
XM_011317818.1	FGSG_00451
XM_011317819.1	FGSG_00452
XM_011317820.1	FGSG_00453
XM_011317821.1	FGSG_00454
XM_011317822.1	FGSG_00455
XM_011317823.1	FGSG_00456
XM_011317824.1	FGSG_00457
XM_011317825.1	FGSG_00458
XM_011317826.1	FGSG_00459
XM_011317827.1	FGSG_00460
XM_011317828.1	FGSG_00461
XM_011317829.1	FGSG_00462
XM_011317830.1	FGSG_00463
XM_011317831.1	FGSG_11768
XM_011317832.1	FGSG_00464
XM_011317833.1	FGSG_00465
XM_011317834.1	FGSG_00466
XM_011317835.1	FGSG_00467
XM_011317836.1	FGSG_00468
XM_011317837.1	FGSG_00469
XM_011317838.1	FGSG_11769
XM_011317839.1	FGSG_00470
XM_011317840.1	FGSG_00471
XM_011317841.1	FGSG_00472
XM_011317842.1	FGSG_11770
XM_011317843.1	FGSG_00473
XM_011317844.1	FGSG_11771
XM_011317845.1	FGSG_00474
XM_011317846.1	FGSG_00475
XM_011317847.1	FGSG_00476
XM_011317848.1	FGSG_00477
XM_011317849.1	FGSG_00478
XM_011317850.1	FGSG_00479
unassigned_transcript_7	FGSG_20506
XM_011317851.1	FGSG_00480
XM_011317852.1	FGSG_00481
XM_011317853.1	FGSG_00482
XM_011317854.1	FGSG_00483
unassigned_transcript_8	FGSG_20507
XM_011317855.1	FGSG_00484
XM_011317856.1	FGSG_00485
XM_011317857.1	FGSG_00486
XM_011317858.1	FGSG_00487
XM_011317859.1	FGSG_00488
XM_011317860.1	FGSG_00489
XM_011317861.1	FGSG_00490
XM_011317862.1	FGSG_00491
XM_011317863.1	FGSG_00492
XM_011317864.1	FGSG_11772
XM_011317865.1	FGSG_00493
XM_011317866.1	FGSG_00494
XM_011317867.1	FGSG_00495
XM_011317868.1	FGSG_00496
XM_011317869.1	FGSG_11773
XM_011317870.1	FGSG_00497
XM_011317871.1	FGSG_00499
XM_011317872.1	FGSG_00500
XM_011317873.1	FGSG_00501
XM_011317874.1	FGSG_00502
XM_011317875.1	FGSG_00503
XM_011317876.1	FGSG_00504
XM_011317877.1	FGSG_00505
XM_011317878.1	FGSG_00506
XM_011317879.1	FGSG_00507
XM_011317880.1	FGSG_00508
XM_011317881.1	FGSG_00509
XM_011317882.1	FGSG_00510
XM_011317883.1	FGSG_00511
XM_011317884.1	FGSG_00512
XM_011317886.1	FGSG_00514
XM_011317885.1	FGSG_00513
XM_011317887.1	FGSG_00515
XM_011317888.1	FGSG_11774
XM_011317889.1	FGSG_11775
XM_011317890.1	FGSG_00516
XM_011317891.1	FGSG_00517
XM_011317892.1	FGSG_00518
XM_011317893.1	FGSG_00519
XM_011317894.1	FGSG_00520
XM_011317895.1	FGSG_00521
XM_011317896.1	FGSG_00522
XM_011317897.1	FGSG_00523
XM_011317898.1	FGSG_00524
XM_011317899.1	FGSG_00525
XM_011317900.1	FGSG_00526
XM_011317901.1	FGSG_00527
XM_011317902.1	FGSG_11776
XM_011317903.1	FGSG_11777
XM_011317904.1	FGSG_00528
XM_011317905.1	FGSG_00529
XM_011317906.1	FGSG_00530
XM_011317907.1	FGSG_00531
XM_011317908.1	FGSG_11778
XM_011317909.1	FGSG_00532
XM_011317910.1	FGSG_00533
XM_011317911.1	FGSG_00534
XM_011317912.1	FGSG_00535
XM_011317913.1	FGSG_00536
XM_011317914.1	FGSG_00537
XM_011317915.1	FGSG_00538
XM_011317916.1	FGSG_00539
XM_011317917.1	FGSG_00540
XM_011317918.1	FGSG_00541
XM_011317919.1	FGSG_00542
XM_011317920.1	FGSG_00543
XM_011317921.1	FGSG_00544
XM_011317922.1	FGSG_00545
XM_011317923.1	FGSG_11779
XM_011317924.1	FGSG_00546
XM_011317925.1	FGSG_11780
XM_011317926.1	FGSG_11781
XM_011317927.1	FGSG_00548
XM_011317928.1	FGSG_00549
XM_011317929.1	FGSG_00550
XM_011317930.1	FGSG_00551
XM_011317931.1	FGSG_00552
XM_011317932.1	FGSG_00553
XM_011317933.1	FGSG_00554
XM_011317934.1	FGSG_00555
XM_011317935.1	FGSG_00556
XM_011317936.1	FGSG_00557
unassigned_transcript_9	FGSG_20508
XM_011317937.1	FGSG_00558
XM_011317938.1	FGSG_00559
XM_011317939.1	FGSG_00560
XM_011317940.1	FGSG_00561
XM_011317941.1	FGSG_00562
XM_011317942.1	FGSG_00563
XM_011317943.1	FGSG_00564
XM_011317944.1	FGSG_11782
XM_011317945.1	FGSG_11783
XM_011317946.1	FGSG_00565
XM_011317947.1	FGSG_00566
XM_011317948.1	FGSG_00567
XM_011317949.1	FGSG_00568
XM_011317950.1	FGSG_00569
XM_011317951.1	FGSG_00570
XM_011317952.1	FGSG_11784
XM_011317953.1	FGSG_00571
XM_011317954.1	FGSG_00572
XM_011317955.1	FGSG_11785
XM_011317956.1	FGSG_00573
XM_011317957.1	FGSG_00574
XM_011317958.1	FGSG_11786
XM_011317959.1	FGSG_11787
XM_011317960.1	FGSG_00576
XM_011317961.1	FGSG_00577
XM_011317962.1	FGSG_00578
XM_011317963.1	FGSG_00579
XM_011317964.1	FGSG_00581
XM_011317965.1	FGSG_00582
XM_011317966.1	FGSG_00583
XM_011317967.1	FGSG_00584
XM_011317968.1	FGSG_00585
XM_011317969.1	FGSG_00586
XM_011317970.1	FGSG_11788
XM_011317971.1	FGSG_11789
XM_011317972.1	FGSG_00587
XM_011317973.1	FGSG_00588
XM_011317974.1	FGSG_00589
XM_011317975.1	FGSG_00590
XM_011317976.1	FGSG_00591
XM_011317977.1	FGSG_00592
XM_011317978.1	FGSG_00593
XM_011317979.1	FGSG_00594
XM_011317980.1	FGSG_00595
XM_011317981.1	FGSG_11790
XM_011317982.1	FGSG_00596
XM_011317983.1	FGSG_00597
XM_011317984.1	FGSG_00598
XM_011317985.1	FGSG_00599
XM_011317986.1	FGSG_00600
XM_011317987.1	FGSG_00601
XM_011317988.1	FGSG_00602
XM_011317989.1	FGSG_00603
XM_011317990.1	FGSG_00604
XM_011317991.1	FGSG_11791
XM_011317992.1	FGSG_11792
XM_011317993.1	FGSG_00605
XM_011317994.1	FGSG_00606
XM_011317995.1	FGSG_00607
XM_011317996.1	FGSG_00608
XM_011317997.1	FGSG_00609
XM_011317998.1	FGSG_00610
XM_011317999.1	FGSG_11793
XM_011318000.1	FGSG_00611
XM_011318001.1	FGSG_00612
XM_011318002.1	FGSG_00613
XM_011318003.1	FGSG_00614
XM_011318004.1	FGSG_00615
unassigned_transcript_10	FGSG_20509
XM_011318005.1	FGSG_00616
XM_011318006.1	FGSG_00617
XM_011318007.1	FGSG_00618
XM_011318008.1	FGSG_00619
XM_011318009.1	FGSG_00620
XM_011318010.1	FGSG_00621
XM_011318011.1	FGSG_00622
XM_011318012.1	FGSG_00623
XM_011318013.1	FGSG_00624
XM_011318014.1	FGSG_00625
XM_011318015.1	FGSG_00626
XM_011318016.1	FGSG_00627
XM_011318017.1	FGSG_00628
XM_011318018.1	FGSG_00629
XM_011318019.1	FGSG_00630
XM_011318020.1	FGSG_00631
XM_011318021.1	FGSG_11794
XM_011318022.1	FGSG_11795
XM_011318023.1	FGSG_00633
XM_011318024.1	FGSG_00634
XM_011318025.1	FGSG_00635
XM_011318026.1	FGSG_00636
XM_011318027.1	FGSG_00637
XM_011318028.1	FGSG_00638
XM_011318029.1	FGSG_00639
XM_011318030.1	FGSG_00640
XM_011318031.1	FGSG_00641
XM_011318032.1	FGSG_00642
XM_011318033.1	FGSG_00643
XM_011318034.1	FGSG_00644
XM_011318035.1	FGSG_00645
XM_011318036.1	FGSG_00646
XM_011318037.1	FGSG_00647
XM_011318038.1	FGSG_00648
XM_011318039.1	FGSG_00649
XM_011318040.1	FGSG_11796
XM_011318041.1	FGSG_11797
XM_011318042.1	FGSG_00652
XM_011318043.1	FGSG_00653
XM_011318044.1	FGSG_00654
XM_011318045.1	FGSG_11798
XM_011318046.1	FGSG_00655
XM_011318047.1	FGSG_00656
XM_011318048.1	FGSG_00657
XM_011318049.1	FGSG_00658
XM_011318050.1	FGSG_00659
XM_011318051.1	FGSG_00660
XM_011318052.1	FGSG_00661
XM_011318053.1	FGSG_11799
XM_011318054.1	FGSG_11800
XM_011318055.1	FGSG_11801
XM_011318056.1	FGSG_00663
XM_011318057.1	FGSG_00664
XM_011318058.1	FGSG_00665
XM_011318059.1	FGSG_00666
XM_011318060.1	FGSG_00667
XM_011318061.1	FGSG_00668
XM_011318062.1	FGSG_11802
XM_011318063.1	FGSG_00669
unassigned_transcript_11	FGSG_20510
XM_011318064.1	FGSG_00670
XM_011318065.1	FGSG_00671
XM_011318066.1	FGSG_00672
XM_011318067.1	FGSG_00673
XM_011318068.1	FGSG_00674
XM_011318069.1	FGSG_00675
